"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-21;Hovedstaden;K;772568;752014;541207;772416;751454;537882;152;560;3325
2022-01-21;Hovedstaden;M;727373;705655;497399;727199;705108;493958;174;547;3441
2022-01-21;Midtjylland;K;567050;554572;414417;566921;553976;411854;129;596;2563
2022-01-21;Midtjylland;M;556116;542516;392656;555996;541942;389647;120;574;3009
2022-01-21;Nordjylland;K;249713;244024;184386;249671;243852;183560;42;172;826
2022-01-21;Nordjylland;M;249580;243300;175510;249539;243109;174466;41;191;1044
2022-01-21;Sjælland;K;352502;344774;262770;352419;344535;261548;83;239;1222
2022-01-21;Sjælland;M;342286;334038;245513;342228;333800;244135;58;238;1378
2022-01-21;Syddanmark;K;517197;505963;380191;517108;505498;377997;89;465;2194
2022-01-21;Syddanmark;M;506898;494776;357643;506809;494244;355233;89;532;2410
