"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;18060;11092
Hovedstaden;0-9;M;19169;11764
Hovedstaden;10-19;K;80823;75128
Hovedstaden;10-19;M;83397;77291
Hovedstaden;20-29;K;122279;119463
Hovedstaden;20-29;M;115719;112450
Hovedstaden;30-39;K;110774;108314
Hovedstaden;30-39;M;108159;105778
Hovedstaden;40-49;K;112690;111463
Hovedstaden;40-49;M;109501;108276
Hovedstaden;50-59;K;113264;112575
Hovedstaden;50-59;M;112458;111720
Hovedstaden;60-69;K;89030;88706
Hovedstaden;60-69;M;84403;84037
Hovedstaden;70-79;K;82230;82029
Hovedstaden;70-79;M;68357;68215
Hovedstaden;80-89;K;36057;35935
Hovedstaden;80-89;M;23634;23558
Hovedstaden;90+;K;7361;7309
Hovedstaden;90+;M;2576;2566
Midtjylland;0-9;K;16017;10845
Midtjylland;0-9;M;17118;11503
Midtjylland;10-19;K;69526;66230
Midtjylland;10-19;M;71537;67987
Midtjylland;20-29;K;79804;78232
Midtjylland;20-29;M;81527;79584
Midtjylland;30-39;K;68224;66986
Midtjylland;30-39;M;69055;67786
Midtjylland;40-49;K;77814;77290
Midtjylland;40-49;M;76905;76325
Midtjylland;50-59;K;84511;84184
Midtjylland;50-59;M;84962;84624
Midtjylland;60-69;K;74446;74272
Midtjylland;60-69;M;72937;72765
Midtjylland;70-79;K;63864;63784
Midtjylland;70-79;M;59066;58982
Midtjylland;80-89;K;27511;27439
Midtjylland;80-89;M;20718;20680
Midtjylland;90+;K;5333;5310
Midtjylland;90+;M;2291;2280
Nordjylland;0-9;K;6487;4261
Nordjylland;0-9;M;6790;4475
Nordjylland;10-19;K;28787;27279
Nordjylland;10-19;M;30191;28566
Nordjylland;20-29;K;31493;30738
Nordjylland;20-29;M;35325;34324
Nordjylland;30-39;K;27865;27309
Nordjylland;30-39;M;28828;28160
Nordjylland;40-49;K;32442;32199
Nordjylland;40-49;M;32607;32316
Nordjylland;50-59;K;38477;38292
Nordjylland;50-59;M;38911;38730
Nordjylland;60-69;K;35832;35725
Nordjylland;60-69;M;35329;35221
Nordjylland;70-79;K;31666;31607
Nordjylland;70-79;M;29773;29713
Nordjylland;80-89;K;13973;13936
Nordjylland;80-89;M;10631;10606
Nordjylland;90+;K;2691;2678
Nordjylland;90+;M;1195;1189
Sjælland;0-9;K;7965;5225
Sjælland;0-9;M;8640;5700
Sjælland;10-19;K;40766;38636
Sjælland;10-19;M;43240;40855
Sjælland;20-29;K;30220;29348
Sjælland;20-29;M;32993;31961
Sjælland;30-39;K;37316;36445
Sjælland;30-39;M;36128;35284
Sjælland;40-49;K;50613;50163
Sjælland;40-49;M;48472;48002
Sjælland;50-59;K;60004;59700
Sjælland;50-59;M;60202;59920
Sjælland;60-69;K;52858;52688
Sjælland;60-69;M;51409;51231
Sjælland;70-79;K;49395;49293
Sjælland;70-79;M;44872;44793
Sjælland;80-89;K;19848;19783
Sjælland;80-89;M;14876;14846
Sjælland;90+;K;3517;3493
Sjælland;90+;M;1454;1446
Syddanmark;0-9;K;13349;9111
Syddanmark;0-9;M;14341;9897
Syddanmark;10-19;K;61895;58872
Syddanmark;10-19;M;63919;60725
Syddanmark;20-29;K;57159;55725
Syddanmark;20-29;M;61500;59712
Syddanmark;30-39;K;57402;56214
Syddanmark;30-39;M;57520;56268
Syddanmark;40-49;K;71217;70640
Syddanmark;40-49;M;69584;68927
Syddanmark;50-59;K;82003;81643
Syddanmark;50-59;M;82833;82442
Syddanmark;60-69;K;73599;73408
Syddanmark;60-69;M;72740;72530
Syddanmark;70-79;K;65235;65127
Syddanmark;70-79;M;60090;59964
Syddanmark;80-89;K;29588;29517
Syddanmark;80-89;M;22007;21957
Syddanmark;90+;K;5750;5706
Syddanmark;90+;M;2364;2354
