"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17034;101
AstraZeneca Covid-19 vaccine;Midtjylland;34042;247
AstraZeneca Covid-19 vaccine;Syddanmark;30853;489
AstraZeneca Covid-19 vaccine;Hovedstaden;46497;1150
AstraZeneca Covid-19 vaccine;Sjælland;24014;468
Janssen COVID-19 vaccine;Nordjylland;3688;3688
Janssen COVID-19 vaccine;Midtjylland;9911;9911
Janssen COVID-19 vaccine;Syddanmark;7665;7665
Janssen COVID-19 vaccine;Hovedstaden;22839;22839
Janssen COVID-19 vaccine;Sjælland;2869;2869
Moderna Covid-19 Vaccine;Nordjylland;71565;70796
Moderna Covid-19 Vaccine;Midtjylland;127646;126166
Moderna Covid-19 Vaccine;Syddanmark;136414;163536
Moderna Covid-19 Vaccine;Hovedstaden;153487;151364
Moderna Covid-19 Vaccine;Sjælland;85284;106155
Pfizer BioNTech Covid-19 vacc;Nordjylland;407006;412739
Pfizer BioNTech Covid-19 vacc;Midtjylland;951567;960764
Pfizer BioNTech Covid-19 vacc;Syddanmark;849163;829049
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1277118;1282316
Pfizer BioNTech Covid-19 vacc;Sjælland;582621;569320
