"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;499293;487324;591725
Midtjylland;1123166;1097088;1342208
Syddanmark;1024095;1000739;1228405
Hovedstaden;1499941;1457669;1868532
Sjælland;694788;678812;843436
