"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499293;487324;359896;84.4;82.4;60.8;591725
Midtjylland;1123166;1097088;807073;83.7;81.7;60.1;1342208
Syddanmark;1024095;1000739;737834;83.4;81.5;60.1;1228405
Hovedstaden;1499941;1457669;1038606;80.3;78.0;55.6;1868532
Sjælland;694788;678812;508283;82.4;80.5;60.3;843436
