"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;61878;40534;299379;20.7;13.5
0-9;M;66058;43339;316080;20.9;13.7
10-19;K;281797;266145;345962;81.5;76.9
10-19;M;292284;275424;361645;80.8;76.2
20-29;K;320955;313506;381161;84.2;82.3
20-29;M;327064;318031;398105;82.2;79.9
30-39;K;301581;295268;351404;85.8;84.0
30-39;M;299690;293276;363767;82.4;80.6
40-49;K;344776;341755;374906;92.0;91.2
40-49;M;337069;333846;375800;89.7;88.8
50-59;K;378259;376394;401584;94.2;93.7
50-59;M;379366;377436;405029;93.7;93.2
60-69;K;325765;324799;339302;96.0;95.7
60-69;M;316818;315784;329737;96.1;95.8
70-79;K;292390;291840;300275;97.4;97.2
70-79;M;262158;261667;268869;97.5;97.3
80-89;K;126977;126610;130843;97.0;96.8
80-89;M;91866;91647;94213;97.5;97.3
90+;K;24652;24496;25980;94.9;94.3
90+;M;9880;9835;10265;96.2;95.8
