Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld vaccineeffekt;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 45;1379969;72525;4419997;4404407;1263439;60110;4194705;4181763;10469;436;11682;11650;187371;9065;632883;631138;239817;10960;752686;750541;173;7;61;61;142;15;287;287
Uge 44;1391478;68132;4413389;4396969;1275224;56297;4191016;4177302;7604;249;8013;7988;139135;6093;498698;497163;179961;7382;595422;593535;130;5;39;39;159;8;206;203
Uge 43;1399935;67814;4405859;4388003;1283907;56003;4186066;4171061;5200;176;6420;6405;98355;5068;409707;408370;117459;5893;467895;466335;108;2;39;39;114;3;180;180
Uge 42;1405629;69615;4398603;4376788;1289994;57469;4181069;4162526;3751;141;4713;4698;78496;4325;309873;308560;90920;4918;343767;342285;75;1;37;37;90;8;143;143
Uge 41;1410603;74468;4389073;4361899;1295366;61679;4173903;4150535;2502;83;2395;2386;81582;4711;217381;215503;96296;5426;244379;242254;37;1;14;14;73;3;84;83
Uge 40;1416053;80707;4377648;4338973;1301802;67223;4165421;4131898;2216;90;1691;1678;57510;3481;159975;158490;67652;3995;179151;177470;32;0;18;16;53;2;54;54
Uge 39;1422098;91675;4361553;4306802;1309706;76966;4153280;4105346;1716;90;1173;1159;50222;3344;149086;147303;59083;3832;165706;163678;25;0;9;8;38;4;42;42
Uge 38;1429857;110020;4335663;4261968;1320356;93587;4132514;4067034;1432;77;964;951;51107;4274;147479;145131;59482;4851;162063;159387;16;0;6;6;33;2;54;54
Uge 37;1439772;133576;4302599;4193885;1333101;115140;4105281;4006704;1294;74;781;763;54118;5897;160405;156609;62550;6751;176798;172505;17;0;11;10;38;5;44;43
Uge 36;1452870;168367;4255205;4062502;1348662;147644;4064464;3886477;1907;173;1102;1057;69700;9323;192367;183376;80691;10672;213656;203510;40;2;8;8;85;9;59;57
Uge 35;1472570;232724;4172516;3868256;1369405;208594;3990129;3705380;2664;272;1475;1374;94681;16416;213841;196092;112717;19245;242608;222150;56;5;16;13;125;13;48;45
Uge 34;1502393;340623;4035352;3541942;1398995;311952;3863791;3399119;3997;471;1699;1494;128530;30000;246642;209819;156413;35928;283239;239905;82;5;12;11;128;11;59;59
Uge 33;1540155;512743;3825820;3256780;1435342;477183;3667656;3130911;4460;665;1662;1334;119137;43185;210743;167618;146778;52765;246480;194566;101;2;11;9;150;13;58;55
Uge 32;1586881;803492;3489028;3015779;1481321;755473;3350965;2903936;4151;1076;1570;1117;98294;62226;168569;135031;117339;74054;193830;154176;102;3;14;11;119;29;37;34
Uge 31;1660743;1000458;3218578;2711936;1552367;943551;3096214;2616103;3619;1353;1324;887;101532;87697;155186;117230;117491;102850;175846;131618;85;7;6;3;72;14;36;34
Uge 30;1776148;1128721;2976366;2406397;1662283;1066345;2867241;2324726;3056;1945;1201;701;111567;111155;139209;94381;129531;131311;157706;105889;75;10;12;9;68;21;23;21
