Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     179 (51);     170 (49);     349
10-19;     342 (54);     286 (46);     628
20-29;   1.092 (62);     681 (38);   1.773
30-39;   1.105 (61);     721 (39);   1.826
40-49;   1.317 (60);     874 (40);   2.191
50-59;   1.354 (60);     914 (40);   2.268
60-69;     716 (50);     720 (50);   1.436
70-79;     486 (46);     575 (54);   1.061
80-89;     474 (57);     351 (43);     825
90+;     186 (72);      72 (28);     258
I alt;   7.251 (57);   5.364 (43);  12.615
