"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;4;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;2291;458
Hovedstaden;3-5;M;2500;489
Hovedstaden;6-11;K;23997;7900
Hovedstaden;6-11;M;25208;8256
Hovedstaden;12-15;K;30554;28303
Hovedstaden;12-15;M;32355;29991
Hovedstaden;16-19;K;34413;33559
Hovedstaden;16-19;M;35129;34077
Hovedstaden;20-39;K;231518;224909
Hovedstaden;20-39;M;222580;215839
Hovedstaden;40-64;K;271492;269008
Hovedstaden;40-64;M;266908;264268
Hovedstaden;65-79;K;126654;126219
Hovedstaden;65-79;M;109392;109029
Hovedstaden;80+;K;48007;47796
Hovedstaden;80+;M;29748;29649
Midtjylland;0-2;K;2;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;2003;394
Midtjylland;3-5;M;2207;404
Midtjylland;6-11;K;22204;9589
Midtjylland;6-11;M;23450;10279
Midtjylland;12-15;K;26135;24707
Midtjylland;12-15;M;27265;25776
Midtjylland;16-19;K;29550;29117
Midtjylland;16-19;M;30317;29746
Midtjylland;20-39;K;147740;144137
Midtjylland;20-39;M;150532;146580
Midtjylland;40-64;K;199030;197829
Midtjylland;40-64;M;197765;196513
Midtjylland;65-79;K;101824;101638
Midtjylland;65-79;M;96397;96191
Midtjylland;80+;K;36438;36325
Midtjylland;80+;M;26033;25967
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;768;120
Nordjylland;3-5;M;810;151
Nordjylland;6-11;K;8739;3521
Nordjylland;6-11;M;9107;3706
Nordjylland;12-15;K;10868;10165
Nordjylland;12-15;M;11567;10886
Nordjylland;16-19;K;12307;12116
Nordjylland;16-19;M;12911;12623
Nordjylland;20-39;K;59199;57564
Nordjylland;20-39;M;64148;62140
Nordjylland;40-64;K;88473;87901
Nordjylland;40-64;M;88708;88030
Nordjylland;65-79;K;49769;49636
Nordjylland;65-79;M;47716;47589
Nordjylland;80+;K;18476;18416
Nordjylland;80+;M;13413;13373
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;956;207
Sjælland;3-5;M;1096;225
Sjælland;6-11;K;11031;4212
Sjælland;6-11;M;11791;4535
Sjælland;12-15;K;15651;14820
Sjælland;12-15;M;16640;15725
Sjælland;16-19;K;17886;17590
Sjælland;16-19;M;18994;18567
Sjælland;20-39;K;67104;64973
Sjælland;20-39;M;69155;66919
Sjælland;40-64;K;136258;135280
Sjælland;40-64;M;133681;132697
Sjælland;65-79;K;76111;75920
Sjælland;65-79;M;70750;70575
Sjælland;80+;K;26072;25976
Sjælland;80+;M;18698;18664
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;1547;272
Syddanmark;3-5;M;1710;309
Syddanmark;6-11;K;18522;7995
Syddanmark;6-11;M;19615;8566
Syddanmark;12-15;K;23255;21893
Syddanmark;12-15;M;24468;23095
Syddanmark;16-19;K;26781;26294
Syddanmark;16-19;M;27344;26717
Syddanmark;20-39;K;114393;110972
Syddanmark;20-39;M;119018;115312
Syddanmark;40-64;K;188963;187638
Syddanmark;40-64;M;187794;186279
Syddanmark;65-79;K;102402;102142
Syddanmark;65-79;M;96847;96596
Syddanmark;80+;K;39169;39024
Syddanmark;80+;M;27669;27580
