"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;57305;17804;298830;19.2;6.0
0-9;M;61268;19057;315510;19.4;6.0
10-19;K;278702;251846;345524;80.7;72.9
10-19;M;288945;260593;361210;80.0;72.1
20-29;K;319299;310004;381179;83.8;81.3
20-29;M;325470;314756;398083;81.8;79.1
30-39;K;300355;292300;351201;85.5;83.2
30-39;M;298606;290787;363488;82.2;80.0
40-49;K;344361;340708;374823;91.9;90.9
40-49;M;336590;332719;375682;89.6;88.6
50-59;K;378052;375830;401586;94.1;93.6
50-59;M;379107;376703;404997;93.6;93.0
60-69;K;325719;324575;339395;96.0;95.6
60-69;M;316795;315549;329894;96.0;95.7
70-79;K;292537;291854;300546;97.3;97.1
70-79;M;262420;261836;269250;97.5;97.2
80-89;K;127307;126876;131239;97.0;96.7
80-89;M;92242;91965;94647;97.5;97.2
90+;K;24921;24740;26288;94.8;94.1
90+;M;9994;9948;10394;96.2;95.7
