"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90812;0.0;0.0
0-2;M;1;0;95774;0.0;0.0
3-5;K;8000;1592;91446;8.7;1.7
3-5;M;8751;1699;96724;9.0;1.8
6-11;K;85335;33838;180067;47.4;18.8
6-11;M;90138;36098;189331;47.6;19.1
12-15;K;118814;112670;144944;82.0;77.7
12-15;M;124803;118381;152616;81.8;77.6
16-19;K;123849;121548;137085;90.3;88.7
16-19;M;126520;123472;142275;88.9;86.8
20-39;K;619654;602304;732380;84.6;82.2
20-39;M;624076;605543;761571;81.9;79.5
40-64;K;890540;884008;952448;93.5;92.8
40-64;M;881744;874741;954450;92.4;91.6
65-79;K;450129;448959;463902;97.0;96.8
65-79;M;413168;412066;425373;97.1;96.9
80+;K;152228;151616;157527;96.6;96.2
80+;M;102236;101913;105041;97.3;97.0
