"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;504908;484387;644883
Frederiksberg;86377;83199;103529
Ballerup;38790;37068;49177
Brøndby;25652;24529;35685
Dragør;12228;11622;14629
Gentofte;61912;59134;74232
Gladsaxe;55202;52500;69285
Glostrup;18151;17432;23485
Herlev;22513;21461;28839
Albertslund;20507;19476;27597
Hvidovre;41270;39226;53245
Høje-Taastrup;39371;37626;53011
Lyngby-Taarbæk;48420;46153;57772
Rødovre;31880;30388;41416
Ishøj;16055;15283;23190
Tårnby;34027;32483;42674
Vallensbæk;12488;11904;16485
Furesø;34092;32315;41392
Allerød;21927;20897;25857
Fredensborg;33368;31906;41205
Helsingør;51557;49728;62941
Hillerød;43858;41937;53251
Hørsholm;21047;20282;24753
Rudersdal;48262;46171;57257
Egedal;36734;35193;44364
Frederikssund;38338;36951;45778
Greve;40559;38897;50810
Køge;50225;48200;61707
Frederiksværk-Hundested;25885;24947;31365
Roskilde;74678;71841;89503
Solrød;19417;18601;23789
Gribskov;34000;32799;41153
Odsherred;27530;26793;32854
Holbæk;60384;58183;72838
Faxe;30271;29212;37154
Kalundborg;39574;38275;48365
Ringsted;28040;26878;35144
Slagelse;64670;62126;79663
Stevns;19356;18686;23470
Sorø;25066;24068;29997
Lejre;23661;22774;28606
Lolland;32709;31789;40104
Næstved;68903;66459;83828
Guldborgsund;49554;48006;60288
Vordingborg;37277;36097;45332
Bornholm;33931;32753;39650
Middelfart;33787;32586;39638
Assens;34834;33483;40939
Faaborg-Midtfyn;44019;42164;51837
Kerteminde;20407;19679;24030
Nyborg;27399;26327;32125
Odense;171424;164806;206052
Svendborg;50349;48422;59181
Nordfyns;24844;23839;29739
Langeland;10510;10184;12285
Ærø;5272;5084;6026
Haderslev;45443;43986;55341
Billund;22090;21271;26660
Sønderborg;61329;58883;73706
Tønder;29770;28722;36835
Esbjerg;95279;91330;115443
Fanø;2961;2868;3430
Varde;41002;39335;49659
Vejen;34838;33400;42612
Aabenraa;47046;45477;58659
Fredericia;42857;41339;51601
Horsens;76532;73448;94508
Kolding;76604;73753;93531
Vejle;97435;93747;119052
Herning;74317;71790;89224
Holstebro;49172;47424;58551
Lemvig;16544;16052;19413
Struer;17799;17215;20791
Syddjurs;36765;35267;43591
Norddjurs;31190;30086;36960
Favrskov;41282;39300;48891
Odder;19871;18964;23297
Randers;82291;78945;98987
Silkeborg;80584;77432;97375
Samsø;3244;3107;3715
Skanderborg;53751;51072;64327
Århus;294754;283096;355283
Ikast-Brande;34196;33004;41896
Ringkøbing-Skjern;46743;45047;56202
Hedensted;39419;37994;47102
Morsø;16952;16340;20052
Skive;38733;37349;45082
Thisted;36069;34758;43083
Viborg;81706;78601;96836
Brønderslev-Dronninglund;30339;28991;36201
Frederikshavn;49964;48445;58863
Vesthimmerlands;29911;28765;36319
Læsø;1529;1497;1769
Rebild;25378;24259;30670
Mariagerfjord;35062;33701;41661
Jammerbugt;32125;30774;38166
Ålborg;185410;178203;221152
Hjørring;54240;52204;63866
