"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;56365;17274;297890;18.9;5.8
0-9;M;60286;18559;314528;19.2;5.9
10-19;K;263101;235960;329923;79.7;71.5
10-19;M;274199;245564;346464;79.1;70.9
20-29;K;320666;311414;382546;83.8;81.4
20-29;M;326267;315542;398880;81.8;79.1
30-39;K;299288;291141;350134;85.5;83.2
30-39;M;299166;291248;364048;82.2;80.0
40-49;K;337332;333676;367794;91.7;90.7
40-49;M;329182;325279;368274;89.4;88.3
50-59;K;377571;375323;401105;94.1;93.6
50-59;M;379025;376590;404915;93.6;93.0
60-69;K;328655;327495;342331;96.0;95.7
60-69;M;318840;317580;331939;96.1;95.7
70-79;K;297418;296717;305427;97.4;97.1
70-79;M;268911;268318;275741;97.5;97.3
80-89;K;137508;137073;141440;97.2;96.9
80-89;M;102509;102234;104914;97.7;97.4
90+;K;30654;30464;32021;95.7;95.1
90+;M;13052;12999;13452;97.0;96.6
