"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;496979;477937;318342;84.0;80.8;53.8;591802
Midtjylland;1118893;1075193;713291;83.4;80.1;53.2;1342031
Syddanmark;1019499;980685;647123;83.0;79.8;52.7;1228381
Hovedstaden;1492750;1429750;915616;79.9;76.5;49.0;1868100
Sjælland;691874;666885;453983;82.0;79.1;53.8;843452
