"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17029;94
AstraZeneca Covid-19 vaccine;Midtjylland;34014;214
AstraZeneca Covid-19 vaccine;Syddanmark;30824;471
AstraZeneca Covid-19 vaccine;Hovedstaden;46381;1061
AstraZeneca Covid-19 vaccine;Sjælland;24016;461
Janssen COVID-19 vaccine;Nordjylland;3676;3676
Janssen COVID-19 vaccine;Midtjylland;9884;9884
Janssen COVID-19 vaccine;Syddanmark;7631;7631
Janssen COVID-19 vaccine;Hovedstaden;22796;22796
Janssen COVID-19 vaccine;Sjælland;2860;2860
Moderna Covid-19 Vaccine;Nordjylland;71501;70599
Moderna Covid-19 Vaccine;Midtjylland;127383;125383
Moderna Covid-19 Vaccine;Syddanmark;136236;162724
Moderna Covid-19 Vaccine;Hovedstaden;153252;150393
Moderna Covid-19 Vaccine;Sjælland;85165;105755
Pfizer BioNTech Covid-19 vacc;Nordjylland;404773;403568
Pfizer BioNTech Covid-19 vacc;Midtjylland;947612;939712
Pfizer BioNTech Covid-19 vacc;Syddanmark;844808;809859
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1270321;1255500
Pfizer BioNTech Covid-19 vacc;Sjælland;579833;557809
