"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90811;0.0;0.0
0-2;M;1;0;95774;0.0;0.0
3-5;K;7565;1451;91011;8.3;1.6
3-5;M;8323;1578;96296;8.6;1.6
6-11;K;84493;33217;179225;47.1;18.5
6-11;M;89171;35342;188364;47.3;18.8
12-15;K;106463;99888;132593;80.3;75.3
12-15;M;112295;105473;140108;80.1;75.3
16-19;K;120937;118676;134173;90.1;88.4
16-19;M;124695;121730;140450;88.8;86.7
20-39;K;619954;602555;732680;84.6;82.2
20-39;M;625433;606790;762928;82.0;79.5
40-64;K;884216;877656;946124;93.5;92.8
40-64;M;874856;867787;947562;92.3;91.6
65-79;K;456760;455555;470533;97.1;96.8
65-79;M;421102;419980;433307;97.2;96.9
80+;K;168162;167537;173461;96.9;96.6
80+;M;115561;115233;118366;97.6;97.4
