Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;100 (51);95 (49);195
10-19;222 (54);188 (46);410
20-29;850 (62);518 (38);1.368
30-39;901 (63);526 (37);1.427
40-49;1.114 (60);728 (40);1.842
50-59;1.131 (60);763 (40);1.894
60-69;605 (50);613 (50);1.218
70-79;401 (45);499 (55);900
80-89;412 (56);319 (44);731
90+;171 (73);62 (27);233
I alt;5.907 (58);4.311 (42);1.022e+04
