"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;4;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;2097;49
Hovedstaden;3-5;M;2272;41
Hovedstaden;6-11;K;22286;1713
Hovedstaden;6-11;M;23379;1782
Hovedstaden;12-15;K;30339;27783
Hovedstaden;12-15;M;32142;29501
Hovedstaden;16-19;K;34391;33456
Hovedstaden;16-19;M;35036;33867
Hovedstaden;20-39;K;231008;223487
Hovedstaden;20-39;M;222067;214679
Hovedstaden;40-64;K;271375;268629
Hovedstaden;40-64;M;266801;263872
Hovedstaden;65-79;K;126597;126126
Hovedstaden;65-79;M;109356;108960
Hovedstaden;80+;K;47995;47769
Hovedstaden;80+;M;29700;29597
Midtjylland;0-2;K;2;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;1848;29
Midtjylland;3-5;M;2069;28
Midtjylland;6-11;K;21235;4625
Midtjylland;6-11;M;22379;4822
Midtjylland;12-15;K;26042;24300
Midtjylland;12-15;M;27152;25362
Midtjylland;16-19;K;29530;28997
Midtjylland;16-19;M;30267;29576
Midtjylland;20-39;K;147353;143169
Midtjylland;20-39;M;150223;145771
Midtjylland;40-64;K;198934;197573
Midtjylland;40-64;M;197674;196260
Midtjylland;65-79;K;101800;101582
Midtjylland;65-79;M;96339;96125
Midtjylland;80+;K;36391;36275
Midtjylland;80+;M;26026;25955
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;692;4
Nordjylland;3-5;M;743;13
Nordjylland;6-11;K;8231;1024
Nordjylland;6-11;M;8598;1066
Nordjylland;12-15;K;10786;9993
Nordjylland;12-15;M;11521;10717
Nordjylland;16-19;K;12302;12089
Nordjylland;16-19;M;12875;12574
Nordjylland;20-39;K;59048;57238
Nordjylland;20-39;M;64026;61845
Nordjylland;40-64;K;88418;87822
Nordjylland;40-64;M;88670;87925
Nordjylland;65-79;K;49738;49604
Nordjylland;65-79;M;47703;47562
Nordjylland;80+;K;18471;18416
Nordjylland;80+;M;13407;13364
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;881;15
Sjælland;3-5;M;1005;14
Sjælland;6-11;K;10383;1199
Sjælland;6-11;M;11079;1310
Sjælland;12-15;K;15578;14626
Sjælland;12-15;M;16596;15507
Sjælland;16-19;K;17893;17552
Sjælland;16-19;M;18978;18503
Sjælland;20-39;K;66903;64491
Sjælland;20-39;M;69008;66513
Sjælland;40-64;K;136191;135096
Sjælland;40-64;M;133633;132511
Sjælland;65-79;K;76110;75907
Sjælland;65-79;M;70740;70552
Sjælland;80+;K;26041;25945
Sjælland;80+;M;18663;18626
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;1410;28
Syddanmark;3-5;M;1544;34
Syddanmark;6-11;K;17445;3711
Syddanmark;6-11;M;18566;3988
Syddanmark;12-15;K;23142;21596
Syddanmark;12-15;M;24305;22647
Syddanmark;16-19;K;26737;26194
Syddanmark;16-19;M;27297;26578
Syddanmark;20-39;K;114037;110038
Syddanmark;20-39;M;118712;114502
Syddanmark;40-64;K;188874;187444
Syddanmark;40-64;M;187650;185956
Syddanmark;65-79;K;102340;102063
Syddanmark;65-79;M;96797;96524
Syddanmark;80+;K;39146;38998
Syddanmark;80+;M;27647;27561
