"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;502881;478626;242302;78.0;74.2;37.6;644933
Frederiksberg;86218;82232;49039;83.2;79.3;47.3;103641
Ballerup;38651;36666;22859;78.5;74.5;46.4;49217
Brøndby;25540;24316;14443;71.7;68.2;40.5;35643
Dragør;12160;11454;7866;83.2;78.4;53.8;14611
Gentofte;61647;58176;38746;83.0;78.4;52.2;74231
Gladsaxe;54880;51714;30849;79.2;74.6;44.5;69297
Glostrup;18098;17224;10247;77.0;73.3;43.6;23508
Herlev;22435;21196;13112;77.7;73.4;45.4;28870
Albertslund;20374;19148;11028;73.9;69.4;40.0;27571
Hvidovre;41096;38704;22726;77.1;72.6;42.7;53275
Høje Tåstrup;39152;37059;21544;73.9;70.0;40.7;52974
Lyngby-Taarbæk;48189;45417;29030;83.3;78.5;50.2;57859
Rødovre;31737;30025;17960;76.7;72.5;43.4;41404
Ishøj;15991;15106;8449;68.9;65.1;36.4;23209
Tårnby;33890;32011;19962;79.3;74.9;46.7;42719
Vallensbæk;12418;11682;7120;75.3;70.9;43.2;16485
Furesø;33929;31773;20998;81.9;76.7;50.7;41418
Allerød;21851;20561;13611;84.5;79.5;52.6;25861
Fredensborg;33232;31499;20354;80.7;76.5;49.4;41202
Helsingør;51403;49142;31984;81.6;78.1;50.8;62962
Hillerød;43690;41347;25207;82.1;77.7;47.3;53244
Hørsholm;20987;20062;13919;84.8;81.1;56.2;24751
Rudersdal;48062;45433;30560;83.9;79.3;53.4;57277
Egedal;36625;34679;21868;82.5;78.1;49.3;44376
Frederikssund;38230;36537;23692;83.5;79.8;51.7;45783
Greve;40405;38294;24496;79.5;75.4;48.2;50808
Køge;50033;47701;28898;81.1;77.3;46.8;61726
Halsnæs;25775;24732;16226;82.2;78.9;51.8;31343
Roskilde;74421;70789;44926;83.2;79.1;50.2;89484
Solrød;19340;18349;11641;81.3;77.2;48.9;23783
Gribskov;33863;32483;21652;82.3;79.0;52.6;41128
Odsherred;27452;26531;16801;83.6;80.8;51.1;32854
Holbæk;60163;57431;34512;82.6;78.9;47.4;72812
Faxe;30143;28880;18280;81.1;77.7;49.2;37154
Kalundborg;39492;37854;23120;81.6;78.2;47.8;48411
Ringsted;27923;26518;16505;79.5;75.5;47.0;35130
Slagelse;64511;61323;38077;81.0;77.0;47.8;79667
Stevns;19288;18447;11547;82.2;78.6;49.2;23474
Sorø;24980;23707;15023;83.2;79.0;50.1;30010
Lejre;23617;22430;14887;82.5;78.4;52.0;28616
Lolland;32622;31442;21361;81.3;78.4;53.3;40104
Næstved;68693;65517;40911;82.0;78.2;48.8;83804
Guldborgsund;49402;47430;31363;81.9;78.7;52.0;60284
Vordingborg;37197;35724;23214;82.0;78.8;51.2;45357
Bornholm;33841;32307;23137;85.4;81.5;58.4;39647
Middelfart;33650;32024;21259;84.9;80.8;53.7;39616
Assens;34710;33146;20607;84.7;80.9;50.3;40996
Faaborg-Midtfyn;43807;41675;26239;84.5;80.4;50.6;51830
Kerteminde;20356;19471;12451;84.6;81.0;51.8;24051
Nyborg;27270;26049;15959;84.9;81.1;49.7;32104
Odense;170733;163186;86298;82.9;79.2;41.9;206038
Svendborg;50102;47903;29038;84.6;80.9;49.1;59196
Nordfyn;24728;23612;14589;83.2;79.4;49.1;29737
Langeland;10493;10153;7056;85.3;82.5;57.3;12306
Ærø;5267;5040;3659;87.3;83.6;60.7;6032
Haderslev;45295;43267;25962;81.8;78.1;46.9;55373
Billund;21990;20932;13092;82.6;78.6;49.2;26629
Sønderborg;61110;58304;36051;82.9;79.1;48.9;73692
Tønder;29670;28459;16791;80.5;77.2;45.6;36862
Esbjerg;94961;90025;54614;82.3;78.0;47.3;115434
Fanø;2942;2844;2047;85.8;83.0;59.7;3428
Varde;40870;38868;25017;82.3;78.2;50.4;49685
Vejen;34694;32883;20405;81.4;77.1;47.9;42639
Aabenraa;46869;44882;27350;79.9;76.5;46.6;58688
Fredericia;42672;40676;25921;82.7;78.8;50.2;51605
Horsens;76264;72296;43686;80.7;76.5;46.2;94461
Kolding;76377;72536;41919;81.6;77.5;44.8;93580
Vejle;97085;91928;54362;81.6;77.3;45.7;118996
Herning;74143;70648;42634;83.0;79.1;47.7;89287
Holstebro;48999;46669;28109;83.7;79.7;48.0;58576
Lemvig;16468;15878;10798;84.9;81.8;55.7;19400
Struer;17735;17005;11045;85.3;81.8;53.1;20785
Syddjurs;36656;34837;22446;84.1;79.9;51.5;43586
Norddjurs;31080;29638;19094;84.1;80.2;51.7;36949
Favrskov;41134;38596;23742;84.1;78.9;48.6;48901
Odder;19821;18836;12571;85.1;80.9;54.0;23289
Randers;81968;77809;47855;82.8;78.6;48.4;98949
Silkeborg;80259;76204;47597;82.5;78.3;48.9;97311
Samsø;3222;3079;2193;86.7;82.8;59.0;3718
