"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;52450;3506;298013;17.6;1.2
0-9;M;56131;3759;314644;17.8;1.2
10-19;K;260806;225479;330060;79.0;68.3
10-19;M;271673;234171;346536;78.4;67.6
20-29;K;319772;309290;382787;83.5;80.8
20-29;M;325587;313721;399197;81.6;78.6
30-39;K;298577;289133;350083;85.3;82.6
30-39;M;298449;289589;363935;82.0;79.6
40-49;K;337303;333238;368017;91.7;90.5
40-49;M;329077;324670;368415;89.3;88.1
50-59;K;377319;374875;401036;94.1;93.5
50-59;M;378801;376088;404846;93.6;92.9
60-69;K;328423;327148;342168;96.0;95.6
60-69;M;318618;317281;331856;96.0;95.6
70-79;K;297332;296585;305399;97.4;97.1
70-79;M;268867;268208;275772;97.5;97.3
80-89;K;137355;136916;141347;97.2;96.9
80-89;M;102368;102083;104801;97.7;97.4
90+;K;30689;30487;32074;95.7;95.1
90+;M;13075;13020;13485;97.0;96.6
