"Vaccinedato";"geo";"Antal færdigvacc. personer";"Antal borgere";"Færdigvacc. (%)";"Kumuleret antal færdigvacc."
2020-12-29;Nationalt;1;5874471;0.00;1
2021-01-01;Nationalt;1;5874471;0.00;2
2021-01-04;Nationalt;1;5874471;0.00;3
2021-01-07;Nationalt;1;5874471;0.00;4
2021-01-08;Nationalt;1;5874471;0.00;5
2021-01-09;Nationalt;2;5874471;0.00;7
2021-01-12;Nationalt;2;5874471;0.00;9
2021-01-13;Nationalt;4;5874471;0.00;13
2021-01-14;Nationalt;1;5874471;0.00;14
2021-01-15;Nationalt;5;5874471;0.00;19
2021-01-16;Nationalt;10;5874471;0.00;29
2021-01-17;Nationalt;637;5874471;0.01;666
2021-01-18;Nationalt;1942;5874471;0.04;2608
2021-01-19;Nationalt;1898;5874471;0.08;4506
2021-01-20;Nationalt;1722;5874471;0.11;6228
2021-01-21;Nationalt;2162;5874471;0.14;8390
2021-01-22;Nationalt;5267;5874471;0.23;13657
2021-01-23;Nationalt;6455;5874471;0.34;20112
2021-01-24;Nationalt;5835;5874471;0.44;25947
2021-01-25;Nationalt;2285;5874471;0.48;28232
2021-01-26;Nationalt;1608;5874471;0.51;29840
2021-01-27;Nationalt;4081;5874471;0.58;33921
2021-01-28;Nationalt;7786;5874471;0.71;41707
2021-01-29;Nationalt;17148;5874471;1.00;58855
2021-01-30;Nationalt;11896;5874471;1.20;70751
2021-01-31;Nationalt;11218;5874471;1.40;81969
2021-02-01;Nationalt;7501;5874471;1.52;89470
2021-02-02;Nationalt;2859;5874471;1.57;92329
2021-02-03;Nationalt;5940;5874471;1.67;98269
2021-02-04;Nationalt;10426;5874471;1.85;108695
2021-02-05;Nationalt;12703;5874471;2.07;121398
2021-02-06;Nationalt;6412;5874471;2.18;127810
2021-02-07;Nationalt;3437;5874471;2.23;131247
2021-02-08;Nationalt;6723;5874471;2.35;137970
2021-02-09;Nationalt;4664;5874471;2.43;142634
2021-02-10;Nationalt;3753;5874471;2.49;146387
2021-02-11;Nationalt;2381;5874471;2.53;148768
2021-02-12;Nationalt;7516;5874471;2.66;156284
2021-02-13;Nationalt;919;5874471;2.68;157203
2021-02-14;Nationalt;603;5874471;2.69;157806
2021-02-15;Nationalt;3082;5874471;2.74;160888
2021-02-16;Nationalt;1302;5874471;2.76;162190
2021-02-17;Nationalt;413;5874471;2.77;162603
2021-02-18;Nationalt;320;5874471;2.77;162923
2021-02-19;Nationalt;943;5874471;2.79;163866
2021-02-20;Nationalt;558;5874471;2.80;164424
2021-02-21;Nationalt;348;5874471;2.80;164772
2021-02-22;Nationalt;1078;5874471;2.82;165850
2021-02-23;Nationalt;1878;5874471;2.86;167728
2021-02-24;Nationalt;1842;5874471;2.89;169570
2021-02-25;Nationalt;607;5874471;2.90;170177
2021-02-26;Nationalt;999;5874471;2.91;171176
2021-02-27;Nationalt;1357;5874471;2.94;172533
2021-02-28;Nationalt;1313;5874471;2.96;173846
2021-03-01;Nationalt;1029;5874471;2.98;174875
2021-03-02;Nationalt;1251;5874471;3.00;176126
2021-03-03;Nationalt;993;5874471;3.02;177119
2021-03-04;Nationalt;1771;5874471;3.05;178890
2021-03-05;Nationalt;5547;5874471;3.14;184437
2021-03-06;Nationalt;3823;5874471;3.20;188260
2021-03-07;Nationalt;4160;5874471;3.28;192420
2021-03-08;Nationalt;6242;5874471;3.38;198662
2021-03-09;Nationalt;6929;5874471;3.50;205591
2021-03-10;Nationalt;6964;5874471;3.62;212555
2021-03-11;Nationalt;7711;5874471;3.75;220266
2021-03-12;Nationalt;10216;5874471;3.92;230482
2021-03-13;Nationalt;5690;5874471;4.02;236172
2021-03-14;Nationalt;9128;5874471;4.18;245300
2021-03-15;Nationalt;9595;5874471;4.34;254895
2021-03-16;Nationalt;9187;5874471;4.50;264082
2021-03-17;Nationalt;8874;5874471;4.65;272956
2021-03-18;Nationalt;7079;5874471;4.77;280035
2021-03-19;Nationalt;11463;5874471;4.96;291498
2021-03-20;Nationalt;4688;5874471;5.04;296186
2021-03-21;Nationalt;4569;5874471;5.12;300755
2021-03-22;Nationalt;7582;5874471;5.25;308337
2021-03-23;Nationalt;7420;5874471;5.38;315757
2021-03-24;Nationalt;13151;5874471;5.60;328908
2021-03-25;Nationalt;8230;5874471;5.74;337138
2021-03-26;Nationalt;7674;5874471;5.87;344812
2021-03-27;Nationalt;3046;5874471;5.92;347858
2021-03-28;Nationalt;2758;5874471;5.97;350616
2021-03-29;Nationalt;6060;5874471;6.07;356676
2021-03-30;Nationalt;5946;5874471;6.17;362622
2021-03-31;Nationalt;9532;5874471;6.34;372154
2021-04-01;Nationalt;6788;5874471;6.45;378942
2021-04-02;Nationalt;6859;5874471;6.57;385801
2021-04-03;Nationalt;2171;5874471;6.60;387972
2021-04-04;Nationalt;1760;5874471;6.63;389732
2021-04-05;Nationalt;1312;5874471;6.66;391044
2021-04-06;Nationalt;5990;5874471;6.76;397034
2021-04-07;Nationalt;8088;5874471;6.90;405122
2021-04-08;Nationalt;8402;5874471;7.04;413524
2021-04-09;Nationalt;8562;5874471;7.19;422086
2021-04-10;Nationalt;5393;5874471;7.28;427479
2021-04-11;Nationalt;3883;5874471;7.34;431362
2021-04-12;Nationalt;11417;5874471;7.54;442779
2021-04-13;Nationalt;6158;5874471;7.64;448937
2021-04-14;Nationalt;11037;5874471;7.83;459974
2021-04-15;Nationalt;9019;5874471;7.98;468993
2021-04-16;Nationalt;8082;5874471;8.12;477075
2021-04-17;Nationalt;2715;5874471;8.17;479790
2021-04-18;Nationalt;5101;5874471;8.25;484891
2021-04-19;Nationalt;14255;5874471;8.50;499146
2021-04-20;Nationalt;16783;5874471;8.78;515929
2021-04-21;Nationalt;12626;5874471;9.00;528555
2021-04-22;Nationalt;5352;5874471;9.09;533907
2021-04-23;Nationalt;11156;5874471;9.28;545063
2021-04-24;Nationalt;7555;5874471;9.41;552618
2021-04-25;Nationalt;5264;5874471;9.50;557882
2021-04-26;Nationalt;7841;5874471;9.63;565723
2021-04-27;Nationalt;20792;5874471;9.98;586515
2021-04-28;Nationalt;20442;5874471;10.3;606957
2021-04-29;Nationalt;17844;5874471;10.6;624801
2021-04-30;Nationalt;3960;5874471;10.7;628761
2021-05-01;Nationalt;6109;5874471;10.8;634870
2021-05-02;Nationalt;13746;5874471;11.0;648616
