"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-30;Hovedstaden;K;766092;729012;438170;765482;728192;429019;610;820;9151
2021-12-30;Hovedstaden;M;720753;682299;392320;720084;681524;382813;669;775;9507
2021-12-30;Midtjylland;K;563135;536551;337997;562353;534942;328939;782;1609;9058
2021-12-30;Midtjylland;M;552130;523899;306763;551365;522231;297231;765;1668;9532
2021-12-30;Nordjylland;K;247686;236190;150236;247420;235618;145809;266;572;4427
2021-12-30;Nordjylland;M;247543;235066;136088;247251;234468;131180;292;598;4908
2021-12-30;Sjælland;K;349980;334831;218560;349592;334245;212452;388;586;6108
2021-12-30;Sjælland;M;339702;323536;197002;339300;322860;190663;402;676;6339
2021-12-30;Syddanmark;K;513133;490073;305806;512587;488909;298090;546;1164;7716
2021-12-30;Syddanmark;M;502518;477790;274880;501966;476605;266819;552;1185;8061
