"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;495229;471256;286324;83.7;79.6;48.4;591877
Midtjylland;1115265;1060450;644760;83.1;79.0;48.0;1342160
Syddanmark;1015651;967863;580686;82.7;78.8;47.3;1228517
Hovedstaden;1486845;1411311;830490;79.6;75.5;44.4;1868439
Sjælland;689682;658367;415562;81.8;78.1;49.3;843478
