"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;4;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;2181;52
Hovedstaden;3-5;M;2361;42
Hovedstaden;6-11;K;22452;1773
Hovedstaden;6-11;M;23522;1829
Hovedstaden;12-15;K;33685;31282
Hovedstaden;12-15;M;35620;33120
Hovedstaden;16-19;K;35708;34752
Hovedstaden;16-19;M;35867;34671
Hovedstaden;20-39;K;231401;223914
Hovedstaden;20-39;M;222461;215111
Hovedstaden;40-64;K;272175;269433
Hovedstaden;40-64;M;267546;264638
Hovedstaden;65-79;K;124784;124320
Hovedstaden;65-79;M;106981;106596
Hovedstaden;80+;K;43702;43486
Hovedstaden;80+;M;26395;26292
Midtjylland;0-2;K;3;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;1909;29
Midtjylland;3-5;M;2130;29
Midtjylland;6-11;K;21425;4759
Midtjylland;6-11;M;22579;4962
Midtjylland;12-15;K;29006;27368
Midtjylland;12-15;M;30163;28466
Midtjylland;16-19;K;30230;29685
Midtjylland;16-19;M;30590;29888
Midtjylland;20-39;K;147027;142847
Midtjylland;20-39;M;149713;145281
Midtjylland;40-64;K;200296;198952
Midtjylland;40-64;M;199297;197896
Midtjylland;65-79;K;100183;99968
Midtjylland;65-79;M;94455;94245
Midtjylland;80+;K;33056;32942
Midtjylland;80+;M;23202;23132
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;720;4
Nordjylland;3-5;M;765;13
Nordjylland;6-11;K;8298;1059
Nordjylland;6-11;M;8676;1104
Nordjylland;12-15;K;12044;11302
Nordjylland;12-15;M;12838;12090
Nordjylland;16-19;K;12600;12383
Nordjylland;16-19;M;13062;12748
Nordjylland;20-39;K;58941;57139
Nordjylland;20-39;M;63746;61580
Nordjylland;40-64;K;89244;88647
Nordjylland;40-64;M;89605;88861
Nordjylland;65-79;K;49083;48954
Nordjylland;65-79;M;46940;46802
Nordjylland;80+;K;16756;16702
Nordjylland;80+;M;11911;11868
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;920;16
Sjælland;3-5;M;1033;15
Sjælland;6-11;K;10444;1231
Sjælland;6-11;M;11172;1353
Sjælland;12-15;K;17518;16622
Sjælland;12-15;M;18460;17434
Sjælland;16-19;K;17863;17519
Sjælland;16-19;M;19100;18613
Sjælland;20-39;K;67028;64618
Sjælland;20-39;M;68671;66192
Sjælland;40-64;K;137628;136536
Sjælland;40-64;M;135125;134010
Sjælland;65-79;K;75083;74888
Sjælland;65-79;M;69678;69492
Sjælland;80+;K;23496;23401
Sjælland;80+;M;16463;16427
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;1464;32
Syddanmark;3-5;M;1589;34
Syddanmark;6-11;K;17586;3796
Syddanmark;6-11;M;18787;4114
Syddanmark;12-15;K;25783;24329
Syddanmark;12-15;M;26879;25336
Syddanmark;16-19;K;27249;26701
Syddanmark;16-19;M;27663;26931
Syddanmark;20-39;K;113692;109703
Syddanmark;20-39;M;118088;113901
Syddanmark;40-64;K;190737;189306
Syddanmark;40-64;M;189708;188027
Syddanmark;65-79;K;101072;100803
Syddanmark;65-79;M;95273;95001
Syddanmark;80+;K;35548;35402
Syddanmark;80+;M;24531;24446
