"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90835;0.0;0.0
0-2;M;1;0;95775;0.0;0.0
3-5;K;7194;133;91273;7.9;0.1
3-5;M;7878;133;96565;8.2;0.1
6-11;K;80205;12618;180003;44.6;7.0
6-11;M;84736;13362;189263;44.8;7.1
12-15;K;118036;110903;144694;81.6;76.6
12-15;M;123960;116446;152356;81.4;76.4
16-19;K;123650;121040;137106;90.2;88.3
16-19;M;126282;122851;142274;88.8;86.3
20-39;K;618089;598221;732610;84.4;81.7
20-39;M;622679;602065;761775;81.7;79.0
40-64;K;890080;882874;952466;93.5;92.7
40-64;M;881281;873432;954479;92.3;91.5
65-79;K;450205;448933;464062;97.0;96.7
65-79;M;413327;412136;425655;97.1;96.8
80+;K;152558;151933;157935;96.6;96.2
80+;M;102502;102165;105345;97.3;97.0
