Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  39.346 (49);  41.542 (51);  80.888
10-19;  62.999 (50);  62.570 (50); 125.569
20-29;  68.007 (50);  68.171 (50); 136.178
30-39;  52.849 (51);  50.138 (49); 102.987
40-49;  55.672 (52);  51.627 (48); 107.299
50-59;  43.718 (49);  44.703 (51);  88.421
60-69;  22.694 (49);  24.060 (51);  46.754
70-79;  13.139 (50);  13.388 (50);  26.527
80-89;   5.640 (55);   4.579 (45);  10.219
90+;   1.805 (69);     816 (31);   2.621
I alt; 365.869 (50); 361.594 (50); 727.463
