"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,187461,130030,590249
Midtjylland,418356,266011,1334570
Syddanmark,406221,259385,1224549
Hovedstaden,606710,366641,1857037
Sjælland,318211,183474,840596
