"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,145205,84840,22.7,13.3,638745
Frederiksberg,32137,20254,31.2,19.6,103144
Ballerup,18140,11102,37.0,22.6,49074
Brøndby,13058,7564,36.8,21.3,35441
Dragør,6129,3724,42.0,25.5,14602
Gentofte,28475,16882,38.3,22.7,74282
Gladsaxe,22890,13823,33.2,20.1,68922
Glostrup,8575,5157,36.5,22.0,23484
Herlev,10398,6463,36.1,22.4,28829
Albertslund,9529,5758,35.0,21.2,27196
Hvidovre,18476,10988,34.7,20.6,53263
Høje Tåstrup,18032,10514,34.5,20.1,52331
Lyngby-Taarbæk,20354,12461,35.7,21.8,57064
Rødovre,14121,8250,34.3,20.0,41190
Ishøj,7604,4345,33.0,18.8,23066
Tårnby,15306,8937,35.8,20.9,42703
Vallensbæk,5964,3663,35.9,22.1,16599
Furesø,16008,9925,38.9,24.1,41116
Allerød,10188,6129,39.3,23.6,25925
Fredensborg,16955,10507,41.3,25.6,41048
Helsingør,27290,16751,43.3,26.6,63090
Hillerød,19846,12390,38.2,23.9,51923
Hørsholm,11269,7289,45.4,29.4,24799
Rudersdal,22615,14012,39.6,24.5,57094
Egedal,16249,9576,36.9,21.8,43979
Frederikssund,19534,12119,42.7,26.5,45759
Greve,17632,10496,34.8,20.7,50635
Køge,20820,12255,33.8,19.9,61610
Halsnæs,14108,9043,44.8,28.7,31488
Roskilde,30584,18198,34.4,20.5,88818
Solrød,7717,4624,32.9,19.7,23480
Gribskov,19010,11948,46.2,29.1,41128
Odsherred,14931,9069,45.3,27.5,32937
Holbæk,27460,15557,38.0,21.5,72245
Faxe,13089,7584,35.5,20.6,36876
Kalundborg,19677,10717,40.7,22.2,48375
Ringsted,10740,6154,30.7,17.6,35038
Slagelse,31752,17466,39.9,22.0,79484
Stevns,8905,5356,38.3,23.0,23243
Sorø,11836,6554,39.6,21.9,29926
Lejre,10637,6297,37.4,22.1,28470
Lolland,17006,9777,42.2,24.2,40340
Næstved,30871,17650,37.0,21.2,83410
Guldborgsund,25898,14854,42.9,24.6,60399
Vordingborg,18656,10866,41.2,24.0,45310
Bornholm,19245,12227,48.4,30.8,39753
Middelfart,13651,9486,34.7,24.1,39343
Assens,14591,9059,35.7,22.2,40872
Faaborg-Midtfyn,18376,12037,35.5,23.3,51715
Kerteminde,9089,5742,38.1,24.1,23871
Nyborg,11092,7383,34.6,23.0,32037
Odense,61975,38958,30.3,19.0,204862
Svendborg,21366,14344,36.3,24.4,58845
Nordfyn,10536,6459,35.6,21.9,29557
Langeland,5305,3491,43.0,28.3,12335
Ærø,2758,1737,45.9,28.9,6011
Haderslev,17257,10984,31.2,19.9,55333
Billund,7875,5531,29.6,20.8,26560
Sønderborg,27455,15523,37.2,21.0,73771
Tønder,11948,7411,32.3,20.0,36995
Esbjerg,42280,25310,36.6,21.9,115597
Fanø,1613,1065,46.9,31.0,3439
Varde,18334,11094,36.9,22.3,49730
Vejen,13071,8736,30.5,20.4,42808
Aabenraa,19963,11556,34.1,19.7,58559
Fredericia,15593,11403,30.3,22.2,51458
Horsens,27275,17379,29.4,18.7,92843
Kolding,26344,18370,28.3,19.7,93067
Vejle,35749,23706,30.4,20.1,117784
Herning,28207,17746,31.6,19.9,89383
Holstebro,20051,12023,34.2,20.5,58669
Lemvig,7626,4752,39.1,24.4,19509
Struer,8115,5165,39.0,24.8,20814
Syddjurs,15721,10416,36.2,24.0,43442
Norddjurs,13691,9132,37.0,24.7,36996
Favrskov,14830,9758,30.5,20.1,48580
Odder,8237,5369,35.7,23.3,23071
Randers,30797,21084,31.3,21.4,98454
Silkeborg,30783,19262,32.0,20.0,96166
Samsø,1754,1097,47.4,29.7,3697
Skanderborg,19351,12115,30.4,19.0,63683
Århus,94619,58481,26.9,16.6,352292
Ikast-Brande,12725,8192,30.5,19.7,41678
Ringkøbing-Skjern,20162,11948,35.8,21.2,56263
Hedensted,15308,9821,32.6,20.9,46978
Morsø,6986,5212,34.8,25.9,20085
Skive,17066,11113,37.6,24.5,45367
Thisted,14228,10126,33.0,23.5,43126
Viborg,32038,21158,33.1,21.9,96685
Brønderslev,11718,7967,32.5,22.1,36076
Frederikshavn,21052,14570,35.7,24.7,58983
Vesthimmerland,12648,8803,34.8,24.2,36360
Læsø,1398,690,78.5,38.8,1780
Rebild,9284,6177,30.4,20.2,30525
Mariagerfjord,14676,9743,35.3,23.4,41584
Jammerbugt,12238,8717,32.1,22.8,38173
Aalborg,61130,42700,27.9,19.5,219466
Hjørring,22103,15325,34.5,23.9,64091
