Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.519.799; 112.700;   6.781;   1.300
Sjælland; 630.204;  32.479;   2.359;     401
Syddanmark; 941.778;  34.114;   1.644;     215
Midtjylland;1.025.137;  40.773;   1.979;     345
Nordjylland; 485.286;  15.894;     855;     179
I alt i Danmark;4.602.204; 235.960;  13.618;   2.440
