Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.337.030;  80.137;   4.438;     725
Sjælland; 524.164;  21.679;   1.424;     213
Syddanmark; 757.147;  20.328;     896;      94
Midtjylland; 861.715;  29.504;   1.325;     183
Nordjylland; 433.349;  10.406;     486;      82
NA;  29.783;   1.424;      95;       1
I alt i Danmark;3.913.405; 162.054;   8.569;   1.297
