Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     189 (51);     181 (49);     370
10-19;     356 (55);     292 (45);     648
20-29;   1.117 (61);     704 (39);   1.821
30-39;   1.124 (60);     749 (40);   1.873
40-49;   1.327 (60);     896 (40);   2.223
50-59;   1.367 (59);     935 (41);   2.302
60-69;     728 (50);     732 (50);   1.460
70-79;     499 (46);     592 (54);   1.091
80-89;     480 (57);     358 (43);     838
90+;     189 (72);      73 (28);     262
I alt;   7.376 (57);   5.512 (43);  12.888
