Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     200 (52);     186 (48);     386
10-19;     385 (55);     314 (45);     699
20-29;   1.160 (61);     744 (39);   1.904
30-39;   1.150 (60);     775 (40);   1.925
40-49;   1.357 (59);     927 (41);   2.284
50-59;   1.398 (59);     957 (41);   2.355
60-69;     740 (50);     748 (50);   1.488
70-79;     508 (46);     600 (54);   1.108
80-89;     483 (57);     361 (43);     844
90+;     196 (73);      73 (27);     269
I alt;   7.577 (57);   5.685 (43);  13.262
