"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;55391;9948;298505;18.6;3.3
0-9;M;59254;10679;315169;18.8;3.4
10-19;K;277432;246334;345423;80.3;71.3
10-19;M;287572;254647;361081;79.6;70.5
20-29;K;318795;308846;381186;83.6;81.0
20-29;M;325002;313728;398061;81.6;78.8
30-39;K;299939;291177;351159;85.4;82.9
30-39;M;298230;289869;363449;82.1;79.8
40-49;K;344206;340328;374783;91.8;90.8
40-49;M;336412;332279;375653;89.6;88.5
50-59;K;377941;375616;401583;94.1;93.5
50-59;M;379014;376478;404985;93.6;93.0
60-69;K;325672;324450;339387;96.0;95.6
60-69;M;316746;315452;329929;96.0;95.6
70-79;K;292549;291832;300602;97.3;97.1
70-79;M;262465;261844;269346;97.4;97.2
80-89;K;127371;126940;131350;97.0;96.6
80-89;M;92317;92031;94739;97.4;97.1
90+;K;24998;24806;26374;94.8;94.1
90+;M;10014;9967;10423;96.1;95.6
