"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;54582;9599;297696;18.3;3.2
0-9;M;58396;10351;314311;18.6;3.3
10-19;K;261954;230526;329945;79.4;69.9
10-19;M;272942;239691;346451;78.8;69.2
20-29;K;320144;310235;382535;83.7;81.1
20-29;M;325841;314556;398900;81.7;78.9
30-39;K;298883;290031;350103;85.4;82.8
30-39;M;298764;290295;363983;82.1;79.8
40-49;K;337256;333370;367833;91.7;90.6
40-49;M;329058;324905;368299;89.3;88.2
50-59;K;377414;375062;401056;94.1;93.5
50-59;M;378908;376335;404879;93.6;92.9
60-69;K;328574;327338;342289;96.0;95.6
60-69;M;318702;317396;331885;96.0;95.6
70-79;K;297350;296616;305403;97.4;97.1
70-79;M;268902;268270;275783;97.5;97.3
80-89;K;137455;137019;141434;97.2;96.9
80-89;M;102455;102172;104877;97.7;97.4
90+;K;30682;30481;32058;95.7;95.1
90+;M;13058;13003;13467;97.0;96.6
