"Vaccinedato";"geo";"Antal færdigvacc. personer";"Antal borgere";"Færdigvacc. (%)";"Kumuleret antal færdigvacc."
2020-12-29;Nationalt;1;5873187;0.00;1
2021-01-01;Nationalt;1;5873187;0.00;2
2021-01-04;Nationalt;1;5873187;0.00;3
2021-01-07;Nationalt;1;5873187;0.00;4
2021-01-08;Nationalt;1;5873187;0.00;5
2021-01-09;Nationalt;2;5873187;0.00;7
2021-01-12;Nationalt;2;5873187;0.00;9
2021-01-13;Nationalt;4;5873187;0.00;13
2021-01-14;Nationalt;1;5873187;0.00;14
2021-01-15;Nationalt;5;5873187;0.00;19
2021-01-16;Nationalt;10;5873187;0.00;29
2021-01-17;Nationalt;635;5873187;0.01;664
2021-01-18;Nationalt;1938;5873187;0.04;2602
2021-01-19;Nationalt;1893;5873187;0.08;4495
2021-01-20;Nationalt;1716;5873187;0.11;6211
2021-01-21;Nationalt;2159;5873187;0.14;8370
2021-01-22;Nationalt;5261;5873187;0.23;13631
2021-01-23;Nationalt;6432;5873187;0.34;20063
2021-01-24;Nationalt;5821;5873187;0.44;25884
2021-01-25;Nationalt;2282;5873187;0.48;28166
2021-01-26;Nationalt;1607;5873187;0.51;29773
2021-01-27;Nationalt;4074;5873187;0.58;33847
2021-01-28;Nationalt;7778;5873187;0.71;41625
2021-01-29;Nationalt;17127;5873187;1.00;58752
2021-01-30;Nationalt;11874;5873187;1.20;70626
2021-01-31;Nationalt;11196;5873187;1.39;81822
2021-02-01;Nationalt;7488;5873187;1.52;89310
2021-02-02;Nationalt;2857;5873187;1.57;92167
2021-02-03;Nationalt;5935;5873187;1.67;98102
2021-02-04;Nationalt;10413;5873187;1.85;108515
2021-02-05;Nationalt;12688;5873187;2.06;121203
2021-02-06;Nationalt;6404;5873187;2.17;127607
2021-02-07;Nationalt;3429;5873187;2.23;131036
2021-02-08;Nationalt;6720;5873187;2.35;137756
2021-02-09;Nationalt;4659;5873187;2.42;142415
2021-02-10;Nationalt;3748;5873187;2.49;146163
2021-02-11;Nationalt;2378;5873187;2.53;148541
2021-02-12;Nationalt;7514;5873187;2.66;156055
2021-02-13;Nationalt;919;5873187;2.67;156974
2021-02-14;Nationalt;602;5873187;2.68;157576
2021-02-15;Nationalt;3081;5873187;2.74;160657
2021-02-16;Nationalt;1302;5873187;2.76;161959
2021-02-17;Nationalt;413;5873187;2.76;162372
2021-02-18;Nationalt;320;5873187;2.77;162692
2021-02-19;Nationalt;943;5873187;2.79;163635
2021-02-20;Nationalt;556;5873187;2.80;164191
2021-02-21;Nationalt;347;5873187;2.80;164538
2021-02-22;Nationalt;1077;5873187;2.82;165615
