"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90609;0.0;0.0
0-2;M;1;0;95538;0.0;0.0
3-5;K;7240;616;91056;8.0;0.7
3-5;M;7960;667;96321;8.3;0.7
6-11;K;82285;22054;179220;45.9;12.3
6-11;M;86870;23555;188376;46.1;12.5
12-15;K;106128;98968;132530;80.1;74.7
12-15;M;111967;104456;140122;79.9;74.5
16-19;K;120875;118485;134226;90.1;88.3
16-19;M;124540;121364;140405;88.7;86.4
20-39;K;619027;600266;732638;84.5;81.9
20-39;M;624605;604851;762883;81.9;79.3
40-64;K;883927;876990;946082;93.4;92.7
40-64;M;874544;867060;947537;92.3;91.5
65-79;K;456667;455396;470499;97.1;96.8
65-79;M;421026;419846;433309;97.2;96.9
80+;K;168137;167500;173492;96.9;96.5
80+;M;115513;115175;118344;97.6;97.3
