"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90610;0.0;0.0
0-2;M;1;0;95538;0.0;0.0
3-5;K;7595;681;91411;8.3;0.7
3-5;M;8319;723;96680;8.6;0.7
6-11;K;83051;22553;179986;46.1;12.5
6-11;M;87738;24125;189244;46.4;12.7
12-15;K;118429;111742;144831;81.8;77.2
12-15;M;124377;117346;152532;81.5;76.9
16-19;K;123739;121304;137090;90.3;88.5
16-19;M;126391;123132;142256;88.8;86.6
20-39;K;618734;600023;732345;84.5;81.9
20-39;M;623232;603597;761510;81.8;79.3
40-64;K;890244;883339;952399;93.5;92.7
40-64;M;881435;874009;954428;92.4;91.6
65-79;K;450124;448887;463956;97.0;96.8
65-79;M;413202;412044;425485;97.1;96.8
80+;K;152369;151746;157724;96.6;96.2
80+;M;102331;101998;105162;97.3;97.0
