"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;503792;480913;259114;78.1;74.6;40.2;644673
Frederiksberg;86315;82650;51476;83.3;79.8;49.7;103577
Ballerup;38744;36874;23896;78.8;75.0;48.6;49197
Brøndby;25600;24431;15076;71.8;68.6;42.3;35633
Dragør;12203;11522;8105;83.5;78.9;55.5;14609
Gentofte;61795;58607;39835;83.2;78.9;53.7;74238
Gladsaxe;55050;52104;32280;79.5;75.2;46.6;69282
Glostrup;18139;17337;10679;77.2;73.8;45.4;23507
Herlev;22486;21324;13601;77.9;73.9;47.1;28851
Albertslund;20439;19298;11513;74.2;70.0;41.8;27563
Hvidovre;41205;38964;23598;77.4;73.2;44.3;53265
Høje Tåstrup;39263;37367;22743;74.1;70.5;42.9;52968
Lyngby-Taarbæk;48327;45794;30194;83.6;79.2;52.2;57825
Rødovre;31819;30201;18721;76.9;73.0;45.2;41391
Ishøj;16040;15224;8806;69.1;65.6;37.9;23206
Tårnby;33978;32141;20737;79.6;75.3;48.6;42699
Vallensbæk;12446;11820;7412;75.5;71.7;45.0;16480
Furesø;34033;32046;21798;82.2;77.4;52.7;41396
Allerød;21900;20677;14185;84.7;80.0;54.9;25853
Fredensborg;33295;31671;21157;80.8;76.9;51.4;41195
Helsingør;51459;49373;33119;81.8;78.4;52.6;62937
Hillerød;43770;41521;26825;82.2;78.0;50.4;53231
Hørsholm;21026;20152;14324;84.9;81.4;57.9;24752
Rudersdal;48186;45748;31639;84.1;79.9;55.2;57267
Egedal;36699;34938;22751;82.7;78.7;51.3;44379
Frederikssund;38298;36696;24761;83.7;80.2;54.1;45777
Greve;40494;38628;25513;79.7;76.0;50.2;50811
Køge;50148;47910;30634;81.2;77.6;49.6;61724
Halsnæs;25821;24796;16993;82.4;79.1;54.2;31333
Roskilde;74558;71399;47047;83.3;79.8;52.6;89482
Solrød;19384;18467;12089;81.5;77.7;50.8;23776
Gribskov;33929;32593;22614;82.5;79.3;55.0;41126
Odsherred;27480;26635;17716;83.7;81.1;53.9;32843
Holbæk;60264;57790;36418;82.8;79.4;50.0;72807
Faxe;30199;29010;19115;81.3;78.1;51.5;37146
Kalundborg;39533;38023;24226;81.7;78.6;50.1;48397
Ringsted;27978;26681;17299;79.7;76.0;49.3;35115
Slagelse;64581;61628;40155;81.1;77.4;50.4;79642
Stevns;19325;18556;12261;82.3;79.1;52.2;23469
Sorø;25030;23861;15679;83.4;79.5;52.2;30011
Lejre;23643;22609;15449;82.6;79.0;54.0;28610
Lolland;32667;31634;21807;81.5;78.9;54.4;40101
