"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17021;87
AstraZeneca Covid-19 vaccine;Midtjylland;34006;209
AstraZeneca Covid-19 vaccine;Syddanmark;30820;469
AstraZeneca Covid-19 vaccine;Hovedstaden;46348;1033
AstraZeneca Covid-19 vaccine;Sjælland;24006;458
Janssen COVID-19 vaccine;Nordjylland;3671;3671
Janssen COVID-19 vaccine;Midtjylland;9886;9886
Janssen COVID-19 vaccine;Syddanmark;7617;7617
Janssen COVID-19 vaccine;Hovedstaden;22770;22770
Janssen COVID-19 vaccine;Sjælland;2864;2864
Moderna Covid-19 Vaccine;Nordjylland;71472;70509
Moderna Covid-19 Vaccine;Midtjylland;127284;125002
Moderna Covid-19 Vaccine;Syddanmark;136193;162436
Moderna Covid-19 Vaccine;Hovedstaden;153218;150052
Moderna Covid-19 Vaccine;Sjælland;85076;105575
Pfizer BioNTech Covid-19 vacc;Nordjylland;403845;400397
Pfizer BioNTech Covid-19 vacc;Midtjylland;945838;931230
Pfizer BioNTech Covid-19 vacc;Syddanmark;842956;804056
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1267602;1245512
Pfizer BioNTech Covid-19 vacc;Sjælland;578827;553418
