"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;496009;474664;591806
Midtjylland;1117014;1066327;1341925
Syddanmark;1017586;974578;1228267
Hovedstaden;1489938;1419367;1867844
Sjælland;690773;662315;843345
