"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;496009;474664;304557;83.8;80.2;51.5;591806
Midtjylland;1117014;1066327;677867;83.2;79.5;50.5;1341925
Syddanmark;1017586;974578;613694;82.8;79.3;50.0;1228267
Hovedstaden;1489938;1419367;871763;79.8;76.0;46.7;1867844
Sjælland;690773;662315;435570;81.9;78.5;51.6;843345
