Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.334.810;  79.309;   4.370;     698
Sjælland; 522.274;  21.281;   1.398;     205
Syddanmark; 754.630;  20.007;     885;      89
Midtjylland; 859.052;  29.010;   1.307;     182
Nordjylland; 432.462;  10.221;     483;      81
NA;  29.599;   1.401;      95;       1
I alt i Danmark;3.903.228; 159.828;   8.443;   1.255
