Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.433.083;  98.824;   6.100;   1.259
Sjælland; 584.413;  28.834;   2.130;     372
Syddanmark; 858.465;  27.591;   1.344;     199
Midtjylland; 949.977;  36.699;   1.805;     336
Nordjylland; 462.794;  14.258;     784;     175
I alt i Danmark;4.288.732; 206.206;  12.163;   2.341
