"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-09-05;Hovedstaden;K;705134;673961;704711;672799;423;1162
2021-09-05;Hovedstaden;M;662741;634531;662340;633430;401;1101
2021-09-05;Midtjylland;K;516938;497262;516904;496741;34;521
2021-09-05;Midtjylland;M;505631;486449;505605;486028;26;421
2021-09-05;Nordjylland;K;229295;221547;229117;220940;178;607
2021-09-05;Nordjylland;M;228499;220123;228303;219456;196;667
2021-09-05;Sjælland;K;324602;313864;324483;313250;119;614
2021-09-05;Sjælland;M;313259;302850;313158;302170;101;680
2021-09-05;Syddanmark;K;472482;454501;472281;453762;201;739
2021-09-05;Syddanmark;M;460592;442029;460428;441239;164;790
