"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;461937;436673;72.1;68.1;641005
Frederiksberg;79775;76304;77.2;73.9;103271
Ballerup;35764;34419;72.9;70.1;49090
Brøndby;23563;22471;66.4;63.3;35484
Dragør;11119;10711;76.2;73.4;14600
Gentofte;56464;54322;76.0;73.1;74311
Gladsaxe;50144;48086;72.7;69.7;68947
Glostrup;16831;16145;71.5;68.6;23552
Herlev;20652;19765;71.7;68.6;28805
Albertslund;18497;17543;67.6;64.1;27347
Hvidovre;37696;36128;70.9;67.9;53188
Høje Tåstrup;35513;33894;67.6;64.5;52572
Lyngby-Taarbæk;43951;42333;76.8;74.0;57221
Rødovre;29012;27803;70.4;67.5;41194
Ishøj;14407;13619;62.6;59.2;23009
Tårnby;31122;29801;73.0;69.9;42637
Vallensbæk;11342;10886;68.7;66.0;16506
Furesø;30831;29813;74.6;72.1;41321
Allerød;20113;19545;77.7;75.5;25886
Fredensborg;30605;29599;74.5;72.1;41076
Helsingør;47767;46129;75.7;73.1;63118
Hillerød;39835;38608;75.9;73.6;52456
Hørsholm;19547;18970;78.9;76.6;24772
Rudersdal;44295;42788;77.3;74.7;57281
Egedal;33636;32473;76.2;73.6;44149
Frederikssund;35697;34429;77.9;75.2;45807
Greve;36944;35623;72.9;70.3;50653
Køge;46191;44626;74.9;72.4;61632
Halsnæs;24231;23519;76.9;74.6;31510
Roskilde;68568;65887;77.0;73.9;89106
Solrød;17604;17043;74.7;72.3;23560
Gribskov;31862;30947;77.2;75.0;41247
Odsherred;25933;25253;78.6;76.6;32982
Holbæk;55566;53522;76.5;73.6;72679
Faxe;27892;27120;75.3;73.2;37049
Kalundborg;36795;35579;76.0;73.5;48399
Ringsted;25652;24804;73.0;70.6;35129
Slagelse;59324;57155;74.5;71.8;79577
Stevns;17854;17383;76.7;74.7;23286
Sorø;22993;22249;76.7;74.2;29997
Lejre;21724;21030;76.1;73.6;28564
Lolland;30495;29623;75.8;73.6;40239
Næstved;63275;61283;75.7;73.3;83615
Guldborgsund;46223;44771;76.6;74.2;60363
Vordingborg;34828;33763;76.8;74.5;45342
Bornholm;31667;30769;79.7;77.5;39722
Middelfart;30856;30025;78.2;76.1;39463
Assens;32101;30657;78.6;75.0;40864
Faaborg-Midtfyn;40327;38959;77.8;75.2;51821
Kerteminde;18910;18285;78.9;76.3;23977
Nyborg;25219;24239;78.5;75.5;32124
Odense;157318;150279;76.6;73.2;205390
Svendborg;46007;44497;77.9;75.3;59056
Nordfyn;22754;22013;76.7;74.2;29651
Langeland;9915;9667;80.5;78.4;12324
Ærø;5003;4918;83.1;81.7;6019
Haderslev;41486;39591;75.0;71.6;55301
Billund;20164;19480;75.9;73.3;26570
Sønderborg;56670;54777;77.0;74.5;73574
Tønder;27616;26290;74.8;71.2;36925
Esbjerg;87414;83717;75.8;72.6;115384
Fanø;2761;2681;80.2;77.9;3443
Varde;37574;35961;75.6;72.4;49670
Vejen;31517;30347;73.8;71.1;42698
Aabenraa;43177;41775;73.8;71.4;58478
Fredericia;39017;37801;75.7;73.4;51529
Horsens;69012;66341;73.9;71.0;93403
Kolding;69243;66313;74.2;71.1;93303
Vejle;88025;84258;74.5;71.3;118180
Herning;67727;65069;76.0;73.0;89128
Holstebro;44869;43137;76.7;73.7;58533
Lemvig;15374;14903;79.3;76.9;19387
Struer;16380;15820;78.8;76.1;20791
Syddjurs;34068;32895;78.3;75.6;43521
Norddjurs;29041;28217;78.4;76.2;37048
Favrskov;37224;36118;76.5;74.2;48681
Odder;18315;17802;79.0;76.8;23173
Randers;75317;72597;76.3;73.6;98689
Silkeborg;72941;70209;75.4;72.6;96681
Samsø;3044;2969;81.7;79.7;3725
Skanderborg;48381;46422;75.6;72.6;63962
Århus;270955;258251;76.4;72.8;354756
Ikast-Brande;31072;29896;74.2;71.4;41873
Ringkøbing-Skjern;42842;41268;76.3;73.5;56136
Hedensted;36013;35011;76.5;74.4;47067
Morsø;15692;15303;78.4;76.4;20019
Skive;35529;34592;78.8;76.7;45084
Thisted;33352;32429;77.4;75.2;43110
Viborg;74465;72194;76.9;74.6;96820
Brønderslev;27623;26610;76.3;73.5;36180
Frederikshavn;46427;45037;78.8;76.4;58911
Vesthimmerland;27664;26785;76.1;73.7;36336
Læsø;1464;1429;81.6;79.7;1794
Rebild;23037;22289;75.2;72.8;30629
Mariagerfjord;32392;31376;78.0;75.5;41546
Jammerbugt;29378;28461;77.1;74.7;38115
Aalborg;170759;163675;77.3;74.1;220801
Hjørring;50006;48276;78.3;75.6;63843
