"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;457794;441670;77.4;74.7;591284
Midtjylland;1022569;983711;76.4;73.5;1338458
Syddanmark;933074;896530;76.1;73.1;1225744
Hovedstaden;1367875;1308492;73.5;70.3;1861084
Sjælland;637861;616714;75.7;73.2;842172
