"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-09-05;Kerteminde;M;9198;8898;9197;8896;1;2
2021-09-05;Nyborg;K;12902;12400;12898;12399;4;1
2021-09-05;Nyborg;M;12317;11839;12317;11836;0;3
2021-09-05;Odense;K;80635;77100;80602;77051;33;49
2021-09-05;Odense;M;76683;73179;76651;73138;32;41
2021-09-05;Svendborg;K;23395;22683;23382;22682;13;1
2021-09-05;Svendborg;M;22612;21814;22600;21807;12;7
2021-09-05;Nordfyn;K;11453;11093;11444;11088;9;5
2021-09-05;Nordfyn;M;11301;10920;11291;10913;10;7
2021-09-05;Langeland;K;4967;4857;4967;4857;0;0
2021-09-05;Langeland;M;4948;4810;4948;4810;0;0
2021-09-05;Ærø;K;2512;2472;2512;2472;0;0
2021-09-05;Ærø;M;2491;2446;2491;2446;0;0
2021-09-05;Haderslev;K;20903;20028;20886;20006;17;22
2021-09-05;Haderslev;M;20583;19563;20570;19544;13;19
2021-09-05;Billund;K;10018;9693;10013;9536;5;157
2021-09-05;Billund;M;10146;9787;10143;9619;3;168
2021-09-05;Sønderborg;K;28714;27792;28711;27782;3;10
2021-09-05;Sønderborg;M;27956;26985;27955;26976;1;9
2021-09-05;Tønder;K;13966;13338;13957;13330;9;8
2021-09-05;Tønder;M;13650;12952;13640;12932;10;20
2021-09-05;Esbjerg;K;44141;42264;44131;42203;10;61
2021-09-05;Esbjerg;M;43273;41453;43266;41377;7;76
2021-09-05;Fanø;K;1423;1385;1422;1384;1;1
2021-09-05;Fanø;M;1338;1296;1338;1295;0;1
2021-09-05;Varde;K;18732;17960;18728;17915;4;45
2021-09-05;Varde;M;18842;18001;18836;17960;6;41
2021-09-05;Vejen;K;15732;15177;15725;15158;7;19
2021-09-05;Vejen;M;15785;15170;15778;15146;7;24
2021-09-05;Aabenraa;K;21839;21160;21822;21131;17;29
2021-09-05;Aabenraa;M;21338;20615;21326;20586;12;29
2021-09-05;Fredericia;K;19769;19183;19756;19153;13;30
2021-09-05;Fredericia;M;19248;18618;19237;18591;11;27
2021-09-05;Horsens;K;34930;33570;34926;33566;4;4
2021-09-05;Horsens;M;34082;32771;34082;32765;0;6
2021-09-05;Kolding;K;35121;33619;35111;33547;10;72
2021-09-05;Kolding;M;34122;32694;34112;32597;10;97
2021-09-05;Vejle;K;44517;42626;44495;42428;22;198
2021-09-05;Vejle;M;43508;41632;43493;41438;15;194
2021-09-05;Herning;K;34022;32734;34022;32732;0;2
2021-09-05;Herning;M;33705;32335;33705;32333;0;2
2021-09-05;Holstebro;K;22783;21925;22783;21925;0;0
2021-09-05;Holstebro;M;22086;21212;22086;21212;0;0
2021-09-05;Lemvig;K;7588;7373;7588;7373;0;0
2021-09-05;Lemvig;M;7786;7530;7786;7530;0;0
2021-09-05;Struer;K;8259;7989;8259;7988;0;1
2021-09-05;Struer;M;8121;7831;8121;7831;0;0
2021-09-05;Syddjurs;K;17063;16466;17061;16462;2;4
2021-09-05;Syddjurs;M;17005;16429;17003;16422;2;7
2021-09-05;Norddjurs;K;14330;13925;14330;13923;0;2
2021-09-05;Norddjurs;M;14711;14292;14711;14292;0;0
