Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;4945;8;4;50;4;50;2;2;2;293
2021-02-02;4745;9;5;55,5555555555556;4;44,4444444444444;5;0;5;308
2021-02-03;4976;10;6;60;4;40;6;0;6;343
2021-02-04;4583;6;3;50;3;50;3;0;5;322
2021-02-05;4452;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2650;10;6;60;4;40;6;0;3;264
2021-02-07;3071;14;7;50;7;50;7;0;6;326
2021-02-08;7149;13;7;53,8461538461539;6;46,1538461538462;6;1;5;439
2021-02-09;6236;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7235;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;9342;13;7;53,8461538461539;6;46,1538461538462;6;1;3;537
2021-02-12;9357;9;4;44,4444444444444;5;55,5555555555556;3;1;4;477
2021-02-13;4917;15;8;53,3333333333333;7;46,6666666666667;7;1;6;339
2021-02-14;4864;20;10;50;10;50;7;3;9;435
2021-02-15;17472;48;24;50;24;50;17;7;25;1155
2021-02-16;17273;60;44;73,3333333333333;16;26,6666666666667;33;10;19;1340
2021-02-17;26586;86;53;61,6279069767442;33;38,3720930232558;44;9;20;2014
2021-02-18;30530;52;40;76,9230769230769;12;23,0769230769231;33;4;30;1803
2021-02-19;34690;86;54;62,7906976744186;32;37,2093023255814;42;12;37;1829
2021-02-20;21981;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1624
2021-02-21;20587;94;66;70,2127659574468;28;29,7872340425532;59;4;41;1693
2021-02-22;26309;101;75;74,2574257425743;26;25,7425742574258;54;19;27;1899
2021-02-23;30168;100;70;70;30;30;58;10;34;2049
2021-02-24;30321;92;57;61,9565217391304;35;38,0434782608696;43;12;33;2122
2021-02-25;28916;88;53;60,2272727272727;35;39,7727272727273;44;9;20;1635
2021-02-26;36997;113;70;61,9469026548673;43;38,0530973451327;54;16;41;1827
2021-02-27;22928;92;68;73,9130434782609;24;26,0869565217391;58;9;17;1560
2021-02-28;24812;112;83;74,1071428571429;29;25,8928571428572;65;18;29;1974
