Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.129.635;  33.843;   2.370;     445
Sjælland; 435.637;   8.557;     816;     142
Syddanmark; 629.596;   9.317;     541;      56
Midtjylland; 709.426;  13.544;     738;      91
Nordjylland; 380.860;   5.523;     324;      55
I alt i Danmark;3.285.154;  70.784;   4.789;     789
