"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,5512,0
AstraZeneca Covid-19 vaccine,Midtjylland,14169,0
AstraZeneca Covid-19 vaccine,Syddanmark,15680,0
AstraZeneca Covid-19 vaccine,Hovedstaden,14712,0
AstraZeneca Covid-19 vaccine,Sjælland,13622,0
Moderna Covid-19 Vaccine,Nordjylland,3235,1
Moderna Covid-19 Vaccine,Midtjylland,1954,224
Moderna Covid-19 Vaccine,Syddanmark,4364,2343
Moderna Covid-19 Vaccine,Hovedstaden,2183,3
Moderna Covid-19 Vaccine,Sjælland,1200,3
Pfizer BioNTech Covid-19 vacc,Nordjylland,30481,19084
Pfizer BioNTech Covid-19 vacc,Midtjylland,70498,40707
Pfizer BioNTech Covid-19 vacc,Syddanmark,61364,36840
Pfizer BioNTech Covid-19 vacc,Hovedstaden,91858,57667
Pfizer BioNTech Covid-19 vacc,Sjælland,44962,24212
