"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,40374,17145,6.3,2.7,638648
Frederiksberg,8396,3527,8.1,3.4,103405
Ballerup,4183,1397,8.5,2.8,49121
Brøndby,3082,1041,8.7,2.9,35362
Dragør,1269,455,8.7,3.1,14557
Gentofte,6608,2829,8.9,3.8,74379
Gladsaxe,6260,2504,9.0,3.6,69181
Glostrup,2451,1125,10.5,4.8,23436
Herlev,2802,1139,9.7,4.0,28819
Albertslund,2328,1017,8.5,3.7,27241
Hvidovre,5109,2136,9.6,4.0,53333
Høje Tåstrup,4293,1925,8.2,3.7,52112
Lyngby-Taarbæk,5265,1961,9.3,3.5,56833
Rødovre,3645,1209,8.9,2.9,41175
Ishøj,1683,675,7.3,2.9,23054
Tårnby,3788,1401,8.9,3.3,42727
Vallensbæk,1452,565,8.8,3.4,16538
Furesø,3945,1489,9.6,3.6,40944
Allerød,2419,841,9.4,3.3,25859
Fredensborg,3732,1578,9.1,3.9,40922
Helsingør,6109,2340,9.7,3.7,63046
Hillerød,5214,2278,10.1,4.4,51714
Hørsholm,2556,998,10.3,4.0,24849
Rudersdal,5418,2004,9.5,3.5,56955
Egedal,3428,1204,7.8,2.8,43711
Frederikssund,4301,1592,9.4,3.5,45537
Greve,3917,1472,7.7,2.9,50573
Køge,4946,1934,8.0,3.1,61537
Halsnæs,2964,1112,9.4,3.5,31404
Roskilde,7832,3068,8.8,3.5,88789
Solrød,1804,703,7.7,3.0,23453
Gribskov,3950,1601,9.6,3.9,40983
Odsherred,3120,1036,9.5,3.1,32902
Holbæk,6510,2435,9.0,3.4,71980
Faxe,2981,1059,8.1,2.9,36744
Kalundborg,3962,1288,8.2,2.7,48406
Ringsted,2655,999,7.6,2.9,34891
Slagelse,7316,2633,9.2,3.3,79219
Stevns,1922,631,8.3,2.7,23152
Sorø,2718,930,9.1,3.1,29974
Lejre,2397,882,8.5,3.1,28272
Lolland,3654,1338,9.0,3.3,40449
Næstved,7651,3012,9.2,3.6,83264
Guldborgsund,6112,2149,10.1,3.6,60293
Vordingborg,3963,1331,8.8,2.9,45206
Bornholm,3786,1540,9.5,3.9,39719
Middelfart,3936,1500,10.0,3.8,39235
Assens,3382,1160,8.3,2.8,40853
Faaborg-Midtfyn,4587,1608,8.9,3.1,51629
Kerteminde,2088,753,8.8,3.2,23837
Nyborg,2879,925,9.0,2.9,31953
Odense,17121,6589,8.3,3.2,205133
Svendborg,6474,3093,11.0,5.3,58722
Nordfyn,2447,816,8.3,2.8,29533
Langeland,1339,552,10.8,4.5,12357
Ærø,658,306,11.0,5.1,5981
Haderslev,4444,1813,8.0,3.3,55336
Billund,2069,754,7.8,2.8,26523
Sønderborg,5978,2443,8.1,3.3,73786
Tønder,3082,1247,8.3,3.4,37028
Esbjerg,11437,3817,9.9,3.3,115538
Fanø,358,124,10.4,3.6,3446
Varde,4794,1449,9.7,2.9,49646
Vejen,3939,1310,9.2,3.1,42755
Aabenraa,4350,1710,7.4,2.9,58550
Fredericia,4626,1887,9.0,3.7,51363
Horsens,7323,2695,7.9,2.9,92530
Kolding,7489,2955,8.0,3.2,93100
Vejle,9438,3864,8.0,3.3,117421
Herning,7792,3333,8.7,3.7,89278
Holstebro,5407,2042,9.2,3.5,58695
Lemvig,1743,722,8.9,3.7,19579
Struer,1971,686,9.5,3.3,20813
Syddjurs,3802,1319,8.8,3.0,43247
Norddjurs,3433,1493,9.3,4.0,36972
Favrskov,3983,1451,8.2,3.0,48429
Odder,2244,871,9.8,3.8,22985
Randers,8926,3499,9.1,3.6,98322
Silkeborg,8053,3123,8.4,3.3,95849
Samsø,488,445,13.3,12.1,3680
Skanderborg,4806,1651,7.6,2.6,63423
Århus,27983,9370,7.9,2.7,352421
Ikast-Brande,3031,1163,7.3,2.8,41517
Ringkøbing-Skjern,4826,1917,8.6,3.4,56140
Hedensted,3707,1382,7.9,3.0,46826
Morsø,2293,1038,11.4,5.2,20060
Skive,4237,1657,9.3,3.6,45415
Thisted,3799,1393,8.8,3.2,43106
Viborg,9184,3621,9.5,3.7,96636
Brønderslev,3144,1247,8.7,3.5,36110
Frederikshavn,5207,2009,8.8,3.4,58983
Vesthimmerland,3407,1188,9.4,3.3,36356
Læsø,285,118,16.1,6.7,1772
Rebild,2431,940,8.0,3.1,30487
Mariagerfjord,3781,1184,9.1,2.8,41578
Jammerbugt,3094,1122,8.1,2.9,38125
Aalborg,18084,6874,8.2,3.1,219732
Hjørring,6017,2215,9.4,3.5,64109
