"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,51542,19328,8.7,3.3,590418
Midtjylland,112939,42440,8.5,3.2,1332757
Syddanmark,106915,40675,8.7,3.3,1223725
Hovedstaden,150810,60628,8.1,3.3,1855564
Sjælland,73460,26900,8.8,3.2,839104
