"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,,K,0,1
Hovedstaden,,M,0,0
Hovedstaden,0-9,K,1,0
Hovedstaden,10-19,K,294,90
Hovedstaden,10-19,M,152,41
Hovedstaden,20-29,K,9272,3423
Hovedstaden,20-29,M,3267,1102
Hovedstaden,30-39,K,10880,5045
Hovedstaden,30-39,M,4757,2142
Hovedstaden,40-49,K,15438,6973
Hovedstaden,40-49,M,5409,2223
Hovedstaden,50-59,K,17899,8028
Hovedstaden,50-59,M,7008,2701
Hovedstaden,60-69,K,13344,6333
Hovedstaden,60-69,M,7750,3426
Hovedstaden,70-79,K,9153,3823
Hovedstaden,70-79,M,8434,3724
Hovedstaden,80-89,K,16329,4725
Hovedstaden,80-89,M,10248,2640
Hovedstaden,90+,K,8117,3293
Hovedstaden,90+,M,3058,895
Midtjylland,,K,0,1
Midtjylland,,M,0,0
Midtjylland,10-19,K,370,147
Midtjylland,10-19,M,93,38
Midtjylland,20-29,K,6945,2152
Midtjylland,20-29,M,1694,436
Midtjylland,30-39,K,7665,3342
Midtjylland,30-39,M,2212,884
Midtjylland,40-49,K,10691,4686
Midtjylland,40-49,M,2588,942
Midtjylland,50-59,K,12477,5654
Midtjylland,50-59,M,2885,1007
Midtjylland,60-69,K,10354,4209
Midtjylland,60-69,M,5250,1706
Midtjylland,70-79,K,7222,2650
Midtjylland,70-79,M,7570,2311
Midtjylland,80-89,K,14655,5085
Midtjylland,80-89,M,10348,2592
Midtjylland,90+,K,6839,3513
Midtjylland,90+,M,3081,1085
Nordjylland,,K,0,0
Nordjylland,,M,0,0
Nordjylland,10-19,K,141,57
Nordjylland,10-19,M,36,11
Nordjylland,20-29,K,2741,969
Nordjylland,20-29,M,791,258
Nordjylland,30-39,K,3308,1374
Nordjylland,30-39,M,979,317
Nordjylland,40-49,K,4659,1948
Nordjylland,40-49,M,1281,344
Nordjylland,50-59,K,6269,2729
Nordjylland,50-59,M,1650,389
Nordjylland,60-69,K,4576,1846
Nordjylland,60-69,M,2156,609
Nordjylland,70-79,K,2633,1190
Nordjylland,70-79,M,2653,980
Nordjylland,80-89,K,7284,2522
Nordjylland,80-89,M,5228,1335
Nordjylland,90+,K,3520,1872
Nordjylland,90+,M,1637,578
Sjælland,,K,0,1
Sjælland,,M,0,0
Sjælland,0-9,M,1,0
Sjælland,10-19,K,186,35
Sjælland,10-19,M,66,15
Sjælland,20-29,K,2793,972
Sjælland,20-29,M,862,298
Sjælland,30-39,K,4623,1757
Sjælland,30-39,M,1350,519
Sjælland,40-49,K,7807,3176
Sjælland,40-49,M,1904,678
Sjælland,50-59,K,9536,3747
Sjælland,50-59,M,2581,888
Sjælland,60-69,K,6994,2700
Sjælland,60-69,M,3608,1177
Sjælland,70-79,K,4529,1788
Sjælland,70-79,M,4864,1580
Sjælland,80-89,K,9225,3188
Sjælland,80-89,M,6611,1751
Sjælland,90+,K,4124,2023
Sjælland,90+,M,1796,607
Syddanmark,,K,0,0
Syddanmark,,M,0,0
Syddanmark,10-19,K,292,88
Syddanmark,10-19,M,100,31
Syddanmark,20-29,K,5207,1589
Syddanmark,20-29,M,1394,419
Syddanmark,30-39,K,6957,2876
Syddanmark,30-39,M,2127,842
Syddanmark,40-49,K,10474,4262
Syddanmark,40-49,M,2781,1000
Syddanmark,50-59,K,12804,5198
Syddanmark,50-59,M,3654,1107
Syddanmark,60-69,K,9057,3749
Syddanmark,60-69,M,4598,1711
Syddanmark,70-79,K,5758,2922
Syddanmark,70-79,M,5925,2759
Syddanmark,80-89,K,15067,5044
Syddanmark,80-89,M,10543,2713
Syddanmark,90+,K,7080,3351
Syddanmark,90+,M,3097,1014
