"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90468;0.0;0.0
0-2;M;1;0;95471;0.0;0.0
3-5;K;4;1;91106;0.0;0.0
3-5;M;4;2;96246;0.0;0.0
6-11;K;17;7;179533;0.0;0.0
6-11;M;17;5;188939;0.0;0.0
12-15;K;98200;88607;132517;74.1;66.9
12-15;M;103633;93730;139883;74.1;67.0
16-19;K;118057;115003;134383;87.9;85.6
16-19;M;121127;117050;140391;86.3;83.4
20-39;K;597236;570309;732104;81.6;77.9
20-39;M;604247;577487;761904;79.3;75.8
40-64;K;877743;868013;946424;92.7;91.7
40-64;M;867388;857176;947893;91.5;90.4
65-79;K;455126;453929;470099;96.8;96.6
65-79;M;419603;418467;433113;96.9;96.6
80+;K;167480;166907;173391;96.6;96.3
80+;M;115032;114737;118197;97.3;97.1
