"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-23;Hovedstaden;K;727917;710193;108198;727284;709888;103908;633;305;4290
2021-11-23;Hovedstaden;M;682056;664824;74234;681511;664596;71085;545;228;3149
2021-11-23;Midtjylland;K;531213;520307;90167;530889;520051;85229;324;256;4938
2021-11-23;Midtjylland;M;518972;507221;59282;518643;507004;55173;329;217;4109
2021-11-23;Nordjylland;K;234968;230213;35938;234917;230171;35501;51;42;437
2021-11-23;Nordjylland;M;233996;228829;22179;233943;228802;21826;53;27;353
2021-11-23;Sjælland;K;333761;326475;60271;333569;326397;58379;192;78;1892
2021-11-23;Sjælland;M;322237;314861;42015;322050;314786;40498;187;75;1517
2021-11-23;Syddanmark;K;486012;475590;79042;485812;475490;74993;200;100;4049
2021-11-23;Syddanmark;M;473791;462919;54939;473579;462813;51639;212;106;3300
