"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;16;3;297649;0.0;0.0
0-9;M;13;3;314254;0.0;0.0
10-19;K;216270;203617;330359;65.5;61.6
10-19;M;224769;210784;346676;64.8;60.8
20-29;K;308611;295119;382927;80.6;77.1
20-29;M;314611;299497;399099;78.8;75.0
30-39;K;288625;275190;349177;82.7;78.8
30-39;M;289636;277990;362805;79.8;76.6
40-49;K;334264;328635;368651;90.7;89.1
40-49;M;325679;319685;369065;88.2;86.6
50-59;K;375095;371899;400891;93.6;92.8
50-59;M;376096;372740;404642;92.9;92.1
60-69;K;327009;325556;341759;95.7;95.3
60-69;M;317210;315815;331705;95.6;95.2
70-79;K;296501;295852;305222;97.1;96.9
70-79;M;268006;267403;275594;97.2;97.0
80-89;K;136743;136355;141126;96.9;96.6
80-89;M;101934;101697;104650;97.4;97.2
90+;K;30737;30552;32264;95.3;94.7
90+;M;13098;13040;13547;96.7;96.3
