"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;468964;459042;591974
Midtjylland;1050185;1027528;1341317
Syddanmark;959803;938509;1227859
Hovedstaden;1409973;1375017;1867854
Sjælland;655998;641336;843058
