"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2021-01-01;20-39;Syddanmark;54;0
2021-01-01;40-64;Syddanmark;294;1
2021-01-01;65-79;Syddanmark;78;0
2021-01-01;80+;Syddanmark;179;0
2021-01-01;20-39;Hovedstaden;183;0
2021-01-01;40-64;Hovedstaden;409;0
2021-01-01;65-79;Hovedstaden;206;0
2021-01-01;80+;Hovedstaden;324;0
2021-01-01;16-19;Sjælland;2;0
2021-01-01;20-39;Sjælland;82;0
2021-01-01;40-64;Sjælland;167;0
2021-01-01;65-79;Sjælland;20;0
2021-01-01;80+;Sjælland;13;0
2021-01-02;16-19;Nordjylland;1;0
2021-01-02;20-39;Nordjylland;316;0
2021-01-02;40-64;Nordjylland;861;0
2021-01-02;65-79;Nordjylland;145;0
2021-01-02;80+;Nordjylland;263;0
2021-01-02;16-19;Midtjylland;2;0
2021-01-02;20-39;Midtjylland;284;0
2021-01-02;40-64;Midtjylland;984;0
2021-01-02;65-79;Midtjylland;367;0
2021-01-02;80+;Midtjylland;564;0
2021-01-02;16-19;Syddanmark;4;0
2021-01-02;20-39;Syddanmark;207;0
2021-01-02;40-64;Syddanmark;768;0
2021-01-02;65-79;Syddanmark;291;0
2021-01-02;80+;Syddanmark;522;0
2021-01-02;16-19;Hovedstaden;1;0
2021-01-02;20-39;Hovedstaden;291;0
2021-01-02;40-64;Hovedstaden;859;0
2021-01-02;65-79;Hovedstaden;413;0
2021-01-02;80+;Hovedstaden;539;0
2021-01-02;20-39;Sjælland;96;0
2021-01-02;40-64;Sjælland;276;0
2021-01-02;65-79;Sjælland;25;0
2021-01-02;80+;Sjælland;2;0
2021-01-03;20-39;Nordjylland;6;0
2021-01-03;40-64;Nordjylland;7;0
2021-01-03;65-79;Nordjylland;1;0
2021-01-03;80+;Nordjylland;1;0
2021-01-03;16-19;Midtjylland;2;0
2021-01-03;20-39;Midtjylland;324;0
2021-01-03;40-64;Midtjylland;1023;0
2021-01-03;65-79;Midtjylland;467;0
2021-01-03;80+;Midtjylland;864;0
2021-01-03;20-39;Syddanmark;80;0
2021-01-03;40-64;Syddanmark;316;0
2021-01-03;65-79;Syddanmark;132;0
2021-01-03;80+;Syddanmark;199;0
2021-01-03;16-19;Hovedstaden;4;0
2021-01-03;20-39;Hovedstaden;240;0
2021-01-03;40-64;Hovedstaden;741;0
2021-01-03;65-79;Hovedstaden;309;0
2021-01-03;80+;Hovedstaden;568;0
2021-01-03;20-39;Sjælland;26;0
2021-01-03;40-64;Sjælland;65;0
2021-01-03;65-79;Sjælland;7;0
2021-01-03;80+;Sjælland;1;0
2021-01-04;16-19;Nordjylland;1;0
2021-01-04;20-39;Nordjylland;206;0
2021-01-04;40-64;Nordjylland;491;0
2021-01-04;65-79;Nordjylland;107;0
2021-01-04;80+;Nordjylland;171;0
2021-01-04;20-39;Midtjylland;24;0
2021-01-04;40-64;Midtjylland;33;0
2021-01-04;65-79;Midtjylland;6;0
2021-01-04;80+;Midtjylland;2;0
2021-01-04;16-19;Syddanmark;5;0
2021-01-04;20-39;Syddanmark;272;1
2021-01-04;40-64;Syddanmark;556;0
2021-01-04;65-79;Syddanmark;73;0
2021-01-04;80+;Syddanmark;32;0
2021-01-04;20-39;Hovedstaden;72;0
2021-01-04;40-64;Hovedstaden;176;0
2021-01-04;65-79;Hovedstaden;44;0
2021-01-04;80+;Hovedstaden;62;0
2021-01-04;20-39;Sjælland;2;0
2021-01-04;40-64;Sjælland;17;0
2021-01-04;65-79;Sjælland;2;0
2021-01-04;80+;Sjælland;1;0
2021-01-05;16-19;Nordjylland;10;0
2021-01-05;20-39;Nordjylland;267;0
2021-01-05;40-64;Nordjylland;928;0
2021-01-05;65-79;Nordjylland;247;0
2021-01-05;80+;Nordjylland;559;0
2021-01-05;16-19;Midtjylland;4;0
2021-01-05;20-39;Midtjylland;404;0
2021-01-05;40-64;Midtjylland;1276;0
2021-01-05;65-79;Midtjylland;359;0
2021-01-05;80+;Midtjylland;615;0
2021-01-05;16-19;Syddanmark;6;0
2021-01-05;20-39;Syddanmark;306;0
2021-01-05;40-64;Syddanmark;582;0
2021-01-05;65-79;Syddanmark;101;0
2021-01-05;80+;Syddanmark;129;0
2021-01-05;16-19;Hovedstaden;11;0
2021-01-05;20-39;Hovedstaden;1300;0
2021-01-05;40-64;Hovedstaden;3027;0
2021-01-05;65-79;Hovedstaden;773;0
2021-01-05;80+;Hovedstaden;1127;0
2021-01-05;16-19;Sjælland;2;0
2021-01-05;20-39;Sjælland;75;0
2021-01-05;40-64;Sjælland;226;0
2021-01-05;65-79;Sjælland;107;0
2021-01-05;80+;Sjælland;124;0
2021-01-06;16-19;Nordjylland;9;0
2021-01-06;20-39;Nordjylland;301;0
2021-01-06;40-64;Nordjylland;1207;0
2021-01-06;65-79;Nordjylland;352;0
2021-01-06;80+;Nordjylland;689;0
2021-01-06;16-19;Midtjylland;12;0
2021-01-06;20-39;Midtjylland;620;0
2021-01-06;40-64;Midtjylland;1658;0
2021-01-06;65-79;Midtjylland;622;0
2021-01-06;80+;Midtjylland;1095;0
2021-01-06;16-19;Syddanmark;15;0
2021-01-06;20-39;Syddanmark;526;0
2021-01-06;40-64;Syddanmark;1625;0
2021-01-06;65-79;Syddanmark;490;0
2021-01-06;80+;Syddanmark;748;0
2021-01-06;16-19;Hovedstaden;13;0
2021-01-06;20-39;Hovedstaden;1171;0
2021-01-06;40-64;Hovedstaden;3060;0
2021-01-06;65-79;Hovedstaden;927;0
2021-01-06;80+;Hovedstaden;1206;0
2021-01-06;20-39;Sjælland;250;0
2021-01-06;40-64;Sjælland;901;0
2021-01-06;65-79;Sjælland;226;0
2021-01-06;80+;Sjælland;478;0
2021-01-07;16-19;Nordjylland;2;0
2021-01-07;20-39;Nordjylland;362;0
2021-01-07;40-64;Nordjylland;558;0
2021-01-07;65-79;Nordjylland;88;0
2021-01-07;80+;Nordjylland;75;0
2021-01-07;16-19;Midtjylland;9;0
2021-01-07;20-39;Midtjylland;623;0
2021-01-07;40-64;Midtjylland;1765;0
2021-01-07;65-79;Midtjylland;586;0
2021-01-07;80+;Midtjylland;1053;0
2021-01-07;16-19;Syddanmark;10;0
2021-01-07;20-39;Syddanmark;557;1
2021-01-07;40-64;Syddanmark;1816;0
2021-01-07;65-79;Syddanmark;648;0
2021-01-07;80+;Syddanmark;1025;0
2021-01-07;16-19;Hovedstaden;9;0
2021-01-07;20-39;Hovedstaden;656;0
2021-01-07;40-64;Hovedstaden;2170;0
2021-01-07;65-79;Hovedstaden;1229;0
2021-01-07;80+;Hovedstaden;1185;0
2021-01-07;16-19;Sjælland;2;0
2021-01-07;20-39;Sjælland;181;0
2021-01-07;40-64;Sjælland;647;0
2021-01-07;65-79;Sjælland;332;0
2021-01-07;80+;Sjælland;535;0
2021-01-08;20-39;Nordjylland;81;0
2021-01-08;40-64;Nordjylland;129;0
2021-01-08;65-79;Nordjylland;14;0
2021-01-08;80+;Nordjylland;8;0
2021-01-08;16-19;Midtjylland;2;0
2021-01-08;20-39;Midtjylland;325;0
2021-01-08;40-64;Midtjylland;879;0
2021-01-08;65-79;Midtjylland;461;0
2021-01-08;80+;Midtjylland;878;0
2021-01-08;16-19;Syddanmark;6;0
2021-01-08;20-39;Syddanmark;421;0
2021-01-08;40-64;Syddanmark;1259;0
2021-01-08;65-79;Syddanmark;550;0
2021-01-08;80+;Syddanmark;819;0
2021-01-08;20-39;Hovedstaden;231;1
2021-01-08;40-64;Hovedstaden;407;0
2021-01-08;65-79;Hovedstaden;71;0
2021-01-08;80+;Hovedstaden;46;0
2021-01-08;20-39;Sjælland;128;0
2021-01-08;40-64;Sjælland;496;0
2021-01-08;65-79;Sjælland;184;0
2021-01-08;80+;Sjælland;422;0
2021-01-09;20-39;Nordjylland;5;0
2021-01-09;40-64;Nordjylland;2;0
2021-01-09;65-79;Nordjylland;10;0
2021-01-09;80+;Nordjylland;18;0
2021-01-09;16-19;Midtjylland;2;0
2021-01-09;20-39;Midtjylland;176;0
2021-01-09;40-64;Midtjylland;299;0
2021-01-09;65-79;Midtjylland;94;0
2021-01-09;80+;Midtjylland;126;0
2021-01-09;20-39;Syddanmark;11;0
2021-01-09;40-64;Syddanmark;13;0
2021-01-09;65-79;Syddanmark;4;0
2021-01-09;80+;Syddanmark;7;0
2021-01-09;20-39;Hovedstaden;67;0
2021-01-09;40-64;Hovedstaden;41;1
2021-01-09;65-79;Hovedstaden;14;0
2021-01-09;80+;Hovedstaden;3;1
2021-01-09;16-19;Sjælland;2;0
2021-01-09;20-39;Sjælland;201;0
2021-01-09;40-64;Sjælland;550;0
2021-01-09;65-79;Sjælland;85;0
2021-01-09;80+;Sjælland;119;0
2021-01-10;20-39;Nordjylland;2;0
2021-01-10;20-39;Midtjylland;1;0
2021-01-10;40-64;Midtjylland;1;0
2021-01-10;65-79;Midtjylland;1;0
2021-01-10;20-39;Syddanmark;9;0
2021-01-10;40-64;Syddanmark;10;0
2021-01-10;65-79;Syddanmark;1;0
2021-01-10;80+;Syddanmark;1;0
2021-01-10;20-39;Hovedstaden;69;0
2021-01-10;40-64;Hovedstaden;57;0
2021-01-10;65-79;Hovedstaden;12;0
2021-01-10;20-39;Sjælland;160;0
2021-01-10;40-64;Sjælland;426;0
2021-01-10;65-79;Sjælland;70;0
2021-01-11;40-64;Nordjylland;3;0
2021-01-11;20-39;Midtjylland;3;0
2021-01-11;40-64;Midtjylland;11;0
2021-01-11;65-79;Midtjylland;1;0
2021-01-11;80+;Midtjylland;4;0
2021-01-11;20-39;Syddanmark;5;0
2021-01-11;40-64;Syddanmark;12;0
2021-01-11;65-79;Syddanmark;1;0
2021-01-11;20-39;Hovedstaden;33;0
2021-01-11;40-64;Hovedstaden;61;0
