"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;468964;459042;58117;79.2;77.5;9.8;591974
Midtjylland;1050185;1027528;149449;78.3;76.6;11.1;1341317
Syddanmark;959803;938509;133981;78.2;76.4;10.9;1227859
Hovedstaden;1409973;1375017;182432;75.5;73.6;9.8;1867854
Sjælland;655998;641336;102286;77.8;76.1;12.1;843058
