"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90469;0.0;0.0
0-2;M;1;0;95471;0.0;0.0
3-5;K;3;1;91105;0.0;0.0
3-5;M;4;2;96246;0.0;0.0
6-11;K;23;10;179539;0.0;0.0
6-11;M;23;10;188945;0.0;0.0
12-15;K;108570;98877;142887;76.0;69.2
12-15;M;114178;104146;150428;75.9;69.2
16-19;K;120709;117601;137035;88.1;85.8
16-19;M;122948;118772;142212;86.5;83.5
20-39;K;597127;570271;731995;81.6;77.9
20-39;M;603032;576420;760689;79.3;75.8
40-64;K;883588;873906;952269;92.8;91.8
40-64;M;873799;863645;954304;91.6;90.5
65-79;K;449967;448793;464940;96.8;96.5
65-79;M;413423;412300;426933;96.8;96.6
80+;K;153875;153317;159786;96.3;96.0
80+;M;103644;103359;106809;97.0;96.8
