"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,43634,17202,638641
Frederiksberg,8938,3540,103398
Ballerup,4478,1402,49116
Brøndby,3329,1047,35363
Dragør,1358,457,14563
Gentofte,7076,2841,74378
Gladsaxe,6671,2549,69199
Glostrup,2580,1133,23444
Herlev,2994,1150,28821
Albertslund,2451,1030,27243
Hvidovre,5450,2141,53340
Høje-Taastrup,4598,1965,52119
Lyngby-Taarbæk,5600,1970,56832
Rødovre,3868,1214,41177
Ishøj,1779,676,23054
Tårnby,4027,1407,42728
Vallensbæk,1606,569,16541
Furesø,4144,1494,40950
Allerød,2611,841,25863
Fredensborg,4029,1584,40942
Helsingør,6596,2351,63045
Hillerød,5722,2280,51710
Hørsholm,2725,1000,24847
Rudersdal,5868,2012,56956
Egedal,3657,1207,43707
Frederikssund,4705,1618,45541
Greve,4238,1556,50571
Køge,5294,2048,61533
Frederiksværk-Hundested,3263,1120,31407
Roskilde,8424,3518,88782
Solrød,1955,772,23454
Gribskov,4302,1604,40981
Odsherred,3266,1117,32898
Holbæk,6767,2593,71979
Faxe,3139,1164,36750
Kalundborg,4084,1515,48408
Ringsted,2770,1114,34896
Slagelse,7538,3057,79220
Stevns,2068,672,23155
Sorø,2836,1077,29972
Lejre,2605,973,28275
Lolland,3782,1528,40440
Næstved,7899,3352,83277
Guldborgsund,6413,2302,60300
Vordingborg,4116,1485,45201
Bornholm,4290,1592,39717
Middelfart,4219,1553,39237
Assens,3659,1168,40853
Faaborg-Midtfyn,4881,1612,51632
Kerteminde,2233,756,23834
Nyborg,3059,928,31946
Odense,18412,6624,205141
Svendborg,6786,3103,58718
Nordfyns,2676,820,29529
Langeland,1418,554,12358
Ærø,738,306,5982
Haderslev,4659,1830,55328
Billund,2249,764,26521
Sønderborg,6623,2449,73792
Tønder,3331,1250,37022
Esbjerg,11902,4028,115554
Fanø,371,124,3446
Varde,5024,1487,49642
Vejen,4223,1387,42751
Aabenraa,4494,1717,58549
Fredericia,4979,1941,51368
Horsens,7607,2832,92538
Kolding,8009,3018,93103
Vejle,10190,4087,117412
Herning,8085,3428,89276
Holstebro,5494,2075,58701
Lemvig,1792,914,19579
Struer,2048,944,20810
Syddjurs,3932,1608,43245
Norddjurs,3613,1511,36971
Favrskov,4080,1620,48429
Odder,2302,1071,22990
Randers,9284,3528,98315
Silkeborg,8189,3296,95861
Samsø,489,446,3680
Skanderborg,4932,1946,63437
Århus,28578,9968,352425
Ikast-Brande,3151,1445,41529
Ringkøbing-Skjern,4912,2081,56135
Hedensted,3880,1693,46820
Morsø,2404,1120,20061
Skive,4361,1879,45417
Thisted,4035,1406,43102
Viborg,9478,3806,96630
Brønderslev-Dronninglund,3567,1272,36123
Frederikshavn,5742,2019,58978
Vesthimmerlands,3751,1203,36344
Læsø,287,118,1772
Rebild,2731,1054,30487
Mariagerfjord,4065,1415,41580
Jammerbugt,3555,1132,38127
Ålborg,20545,7765,219729
Hjørring,6902,2236,64102
