"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16200,0
AstraZeneca Covid-19 vaccine,Midtjylland,26411,0
AstraZeneca Covid-19 vaccine,Syddanmark,26337,0
AstraZeneca Covid-19 vaccine,Hovedstaden,38576,0
AstraZeneca Covid-19 vaccine,Sjælland,20919,0
Moderna Covid-19 Vaccine,Nordjylland,4097,1356
Moderna Covid-19 Vaccine,Midtjylland,4128,226
Moderna Covid-19 Vaccine,Syddanmark,5937,2351
Moderna Covid-19 Vaccine,Hovedstaden,4005,7
Moderna Covid-19 Vaccine,Sjælland,1902,4
Pfizer BioNTech Covid-19 vacc,Nordjylland,37287,19384
Pfizer BioNTech Covid-19 vacc,Midtjylland,85668,45865
Pfizer BioNTech Covid-19 vacc,Syddanmark,81861,39155
Pfizer BioNTech Covid-19 vacc,Hovedstaden,119768,60989
Pfizer BioNTech Covid-19 vacc,Sjælland,54373,29839
