"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-07,Hovedstaden,K,107710,41968,103716,41913,3994,55
2021-03-07,Hovedstaden,M,54639,19028,52287,18992,2352,36
2021-03-07,Midtjylland,K,79542,33540,78681,32643,861,897
2021-03-07,Midtjylland,M,36665,12551,36322,11929,343,622
2021-03-07,Nordjylland,K,40008,15356,38234,14919,1774,437
2021-03-07,Nordjylland,M,17576,5384,17205,5098,371,286
2021-03-07,Sjælland,K,52118,21062,50960,20272,1158,790
2021-03-07,Sjælland,M,25076,8781,24297,8255,779,526
2021-03-07,Syddanmark,K,76776,29616,75022,29400,1754,216
2021-03-07,Syddanmark,M,37359,11890,36007,11772,1352,118
