"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,57584,20740,9.8,3.5,590405
Midtjylland,116207,46091,8.7,3.5,1332788
Syddanmark,114135,41506,9.3,3.4,1223718
Hovedstaden,162349,60996,8.7,3.3,1855623
Sjælland,77194,29843,9.2,3.6,839111
